address,gmgn_note,reason,action
2EioKFNgCzKdCxXfbRKN3rMX5QhXYtDLeooBSbt51nws,HDD-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=0.0；hold=0.12839614110825814；sell_ratio=0.0,risk_watch
CNgNZaJnq66sk23CMMnCUPji8has9JKDVYg88agBvMeT,HDD-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=-1966.5586710260177；hold=0.010325534304031533；sell_ratio=0.1728636328780453,risk_watch
8voZKrPe8mhYaS81EGrXRorkjRTiA5bHoPkSgPAkdnzH,HDD-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=-4740.813302932922；hold=0.009812813853446813；sell_ratio=0.022458105925504034,risk_watch
BnkZzTEy9opJjkuE5MNn9ujHhZSzQ5c8HTeUCy9PkP3a,HDD-EARLY_BUYER-E2-STRUCTURE_SIDE,"GMGN标签=fresh_wallet,top_holder；profit=-2183.4909774663433；hold=0.008173802419546803；sell_ratio=0.0",risk_watch
ARnyigVj7QFKoUZqnHM3Vw7Vsabn9mFSXuySYKpXW3Kd,HDD-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=-2186.4801433570037；hold=0.0068157027171007025；sell_ratio=0.023366180224551402,risk_watch
7p8ZmVHXSRH5B6JQmhdLNshfpJ2CDRY7cUBQRG2BxMQq,HDD-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=-1457.961399922985；hold=0.005753411302548412；sell_ratio=0.027428652436448923,risk_watch
25gDgHvXUxUFacCCPKAhnsiE3aA5iuMJJWNdEwbpoUeh,HDD-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=-896.0954073213202；hold=0.00574466003933866；sell_ratio=0.2327335749822766,risk_watch
DeBbDGPMQxBvGRoqZ1pbmnZKSWNV15biUMuYhL6QSdNd,HDD-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=-1351.447038552424；hold=0.005742842516578842；sell_ratio=0.027309906384969725,risk_watch
He71tRuctgs1u7uCafrQnb8Bs5wUyEF3TRBWKkuVYxiF,HDD-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=-2776.6949714524876；hold=0.0054910201394930205；sell_ratio=0.23025445554564844,risk_watch
gCRrQq5qg7aGcGKUsG6NgZN5jCwwHzYcYHCuam3DsDj,HDD-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=-1808.7427593796672；hold=0.005320722823343723；sell_ratio=0.0,risk_watch
6Wttz1A8sSMHVgdTuhfPYvssQ6FycRqUkqmvRBaFfgW5,HDD-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=-1112.3798586435416；hold=0.004758123897022124；sell_ratio=0.0,risk_watch
42fkV87cvRjtL3dvkFBiWFkiF1LP34vZtDxvNt69zV3g,HDD-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=无；profit=-1003.366222380929；hold=0.004542677163023677；sell_ratio=0.0,risk_watch
