代币地址,代币符号,候选筛选等级,模式,风险门禁,风险等级,信号等级,策略类型,信号时间,信号价格,信号置信分,建议纸面仓位SOL,止损价格,最大浮盈_pct,最终收益率_pct,自动准备输出,状态,说明
F8ZVdDU2EdqYaBuJsA488Hr1QPachasWnQF6k3TDpump,CCP,S3_进入SIKK结构分析,paper,ALLOW_PAPER_TRADE_允许纸面交易,低,S4_强确认信号,SIKK-B 控盘箱体突破回踩,2026-04-30 21:35:00 UTC,0.00063246389,99.0,0.2,0.0005589488123200001,4.8118,-11.6236,"{'json': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/F8ZVdDU2EdqYaBuJsA488Hr1QPachasWnQF6k3TDpump/signal_outputs/token_readiness_result.json', 'risk': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/F8ZVdDU2EdqYaBuJsA488Hr1QPachasWnQF6k3TDpump/signal_outputs/risk_gate_report.json', 'signal': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/F8ZVdDU2EdqYaBuJsA488Hr1QPachasWnQF6k3TDpump/signal_outputs/signal_events.csv', 'paper': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/F8ZVdDU2EdqYaBuJsA488Hr1QPachasWnQF6k3TDpump/signal_outputs/paper_trades.csv', 'exit': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/F8ZVdDU2EdqYaBuJsA488Hr1QPachasWnQF6k3TDpump/signal_outputs/exit_plan.json', 'review': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/F8ZVdDU2EdqYaBuJsA488Hr1QPachasWnQF6k3TDpump/signal_outputs/auto_readiness_review.md'}",ok,纸面交易/自动准备信号，不执行真实 swap
GoCeZ8QUUc5WEXW5swRiTKcmhybCKJ1YVKG4td8apump,free,S3_进入SIKK结构分析,paper,ALLOW_PAPER_TRADE_允许纸面交易,低,S4_强确认信号,SIKK-B 控盘箱体突破回踩,2026-04-30 16:35:00 UTC,0.00011763612,99.0,0.2,0.000103814804408,10.4858,-11.7492,"{'json': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/GoCeZ8QUUc5WEXW5swRiTKcmhybCKJ1YVKG4td8apump/signal_outputs/token_readiness_result.json', 'risk': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/GoCeZ8QUUc5WEXW5swRiTKcmhybCKJ1YVKG4td8apump/signal_outputs/risk_gate_report.json', 'signal': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/GoCeZ8QUUc5WEXW5swRiTKcmhybCKJ1YVKG4td8apump/signal_outputs/signal_events.csv', 'paper': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/GoCeZ8QUUc5WEXW5swRiTKcmhybCKJ1YVKG4td8apump/signal_outputs/paper_trades.csv', 'exit': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/GoCeZ8QUUc5WEXW5swRiTKcmhybCKJ1YVKG4td8apump/signal_outputs/exit_plan.json', 'review': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/GoCeZ8QUUc5WEXW5swRiTKcmhybCKJ1YVKG4td8apump/signal_outputs/auto_readiness_review.md'}",ok,纸面交易/自动准备信号，不执行真实 swap
ARea51UmRfn22Ds7KwFZirSMEEn1gtBdrhW4zLeveeV1,AALIEN,S3_进入SIKK结构分析,paper,ALLOW_PAPER_TRADE_允许纸面交易,低,S4_强确认信号,SIKK-B 控盘箱体突破回踩,2026-04-30 16:34:00 UTC,4.8220098e-05,99.0,0.185696,4.1728307712e-05,51.0234,49.547,"{'json': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/ARea51UmRfn22Ds7KwFZirSMEEn1gtBdrhW4zLeveeV1/signal_outputs/token_readiness_result.json', 'risk': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/ARea51UmRfn22Ds7KwFZirSMEEn1gtBdrhW4zLeveeV1/signal_outputs/risk_gate_report.json', 'signal': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/ARea51UmRfn22Ds7KwFZirSMEEn1gtBdrhW4zLeveeV1/signal_outputs/signal_events.csv', 'paper': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/ARea51UmRfn22Ds7KwFZirSMEEn1gtBdrhW4zLeveeV1/signal_outputs/paper_trades.csv', 'exit': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/ARea51UmRfn22Ds7KwFZirSMEEn1gtBdrhW4zLeveeV1/signal_outputs/exit_plan.json', 'review': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/ARea51UmRfn22Ds7KwFZirSMEEn1gtBdrhW4zLeveeV1/signal_outputs/auto_readiness_review.md'}",ok,纸面交易/自动准备信号，不执行真实 swap
5eK3XbtBCfqvK98eGDEve6fRLZALyZ1LvnQ6Zxm4pump,PEPE,S3_进入SIKK结构分析,paper,ALLOW_PAPER_TRADE_允许纸面交易,低,S1_观察信号,控盘箱体观察,2026-04-30 03:21:00 UTC,3.2905349e-05,64.0,0.0,3.1043260858e-05,,,"{'json': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/5eK3XbtBCfqvK98eGDEve6fRLZALyZ1LvnQ6Zxm4pump/signal_outputs/token_readiness_result.json', 'risk': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/5eK3XbtBCfqvK98eGDEve6fRLZALyZ1LvnQ6Zxm4pump/signal_outputs/risk_gate_report.json', 'signal': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/5eK3XbtBCfqvK98eGDEve6fRLZALyZ1LvnQ6Zxm4pump/signal_outputs/signal_events.csv', 'paper': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/5eK3XbtBCfqvK98eGDEve6fRLZALyZ1LvnQ6Zxm4pump/signal_outputs/paper_trades.csv', 'exit': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/5eK3XbtBCfqvK98eGDEve6fRLZALyZ1LvnQ6Zxm4pump/signal_outputs/exit_plan.json', 'review': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/5eK3XbtBCfqvK98eGDEve6fRLZALyZ1LvnQ6Zxm4pump/signal_outputs/auto_readiness_review.md'}",ok,纸面交易/自动准备信号，不执行真实 swap
6RhH7zVMckGazH6DMBQrKfpKc2C3M7Rk8D6HzEgqpump,HEALTH,S3_进入SIKK结构分析,paper,ALLOW_PAPER_TRADE_允许纸面交易,低,S4_强确认信号,SIKK-B 控盘箱体突破回踩,2026-04-30 09:46:00 UTC,5.8335623e-05,99.0,0.193965,5.0816779972e-05,59.8172,2.8333,"{'json': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/6RhH7zVMckGazH6DMBQrKfpKc2C3M7Rk8D6HzEgqpump/signal_outputs/token_readiness_result.json', 'risk': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/6RhH7zVMckGazH6DMBQrKfpKc2C3M7Rk8D6HzEgqpump/signal_outputs/risk_gate_report.json', 'signal': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/6RhH7zVMckGazH6DMBQrKfpKc2C3M7Rk8D6HzEgqpump/signal_outputs/signal_events.csv', 'paper': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/6RhH7zVMckGazH6DMBQrKfpKc2C3M7Rk8D6HzEgqpump/signal_outputs/paper_trades.csv', 'exit': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/6RhH7zVMckGazH6DMBQrKfpKc2C3M7Rk8D6HzEgqpump/signal_outputs/exit_plan.json', 'review': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/6RhH7zVMckGazH6DMBQrKfpKc2C3M7Rk8D6HzEgqpump/signal_outputs/auto_readiness_review.md'}",ok,纸面交易/自动准备信号，不执行真实 swap
Ha5Z2DfRv6Ar2nAeBLCGWHqzwXKL3of4DqKwzzwpump,FOFAR,S3_进入SIKK结构分析,paper,ALLOW_PAPER_TRADE_允许纸面交易,低,S2_预备信号,SIKK-B 预备观察,2026-04-29 22:02:00 UTC,0.00092270082,64.0,0.0,0.0008865312048,,,"{'json': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/Ha5Z2DfRv6Ar2nAeBLCGWHqzwXKL3of4DqKwzzwpump/signal_outputs/token_readiness_result.json', 'risk': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/Ha5Z2DfRv6Ar2nAeBLCGWHqzwXKL3of4DqKwzzwpump/signal_outputs/risk_gate_report.json', 'signal': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/Ha5Z2DfRv6Ar2nAeBLCGWHqzwXKL3of4DqKwzzwpump/signal_outputs/signal_events.csv', 'paper': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/Ha5Z2DfRv6Ar2nAeBLCGWHqzwXKL3of4DqKwzzwpump/signal_outputs/paper_trades.csv', 'exit': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/Ha5Z2DfRv6Ar2nAeBLCGWHqzwXKL3of4DqKwzzwpump/signal_outputs/exit_plan.json', 'review': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/Ha5Z2DfRv6Ar2nAeBLCGWHqzwXKL3of4DqKwzzwpump/signal_outputs/auto_readiness_review.md'}",ok,纸面交易/自动准备信号，不执行真实 swap
9qy89gnSE6HkPPFigfJPWppuLsL3hTpE7HR3YE4Qpump,PEPX,S3_进入SIKK结构分析,paper,ALLOW_PAPER_TRADE_允许纸面交易,低,S4_强确认信号,SIKK-B 控盘箱体突破回踩,2026-04-30 19:28:00 UTC,2.8200533e-05,99.0,0.2,2.4915460848e-05,207.3928,84.5878,"{'json': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/9qy89gnSE6HkPPFigfJPWppuLsL3hTpE7HR3YE4Qpump/signal_outputs/token_readiness_result.json', 'risk': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/9qy89gnSE6HkPPFigfJPWppuLsL3hTpE7HR3YE4Qpump/signal_outputs/risk_gate_report.json', 'signal': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/9qy89gnSE6HkPPFigfJPWppuLsL3hTpE7HR3YE4Qpump/signal_outputs/signal_events.csv', 'paper': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/9qy89gnSE6HkPPFigfJPWppuLsL3hTpE7HR3YE4Qpump/signal_outputs/paper_trades.csv', 'exit': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/9qy89gnSE6HkPPFigfJPWppuLsL3hTpE7HR3YE4Qpump/signal_outputs/exit_plan.json', 'review': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/9qy89gnSE6HkPPFigfJPWppuLsL3hTpE7HR3YE4Qpump/signal_outputs/auto_readiness_review.md'}",ok,纸面交易/自动准备信号，不执行真实 swap
LzxN1DNn3qNdLw7VKYvxBqvWMY45rhTeq4KoytyLUSA,UNITED,S3_进入SIKK结构分析,paper,ALLOW_PAPER_TRADE_允许纸面交易,低,S4_强确认信号,SIKK-B 控盘箱体突破回踩,2026-04-29 16:32:00 UTC,0.00020241965,99.0,0.056305,0.00011254296944799999,332.6617,162.6851,"{'json': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/LzxN1DNn3qNdLw7VKYvxBqvWMY45rhTeq4KoytyLUSA/signal_outputs/token_readiness_result.json', 'risk': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/LzxN1DNn3qNdLw7VKYvxBqvWMY45rhTeq4KoytyLUSA/signal_outputs/risk_gate_report.json', 'signal': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/LzxN1DNn3qNdLw7VKYvxBqvWMY45rhTeq4KoytyLUSA/signal_outputs/signal_events.csv', 'paper': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/LzxN1DNn3qNdLw7VKYvxBqvWMY45rhTeq4KoytyLUSA/signal_outputs/paper_trades.csv', 'exit': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/LzxN1DNn3qNdLw7VKYvxBqvWMY45rhTeq4KoytyLUSA/signal_outputs/exit_plan.json', 'review': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/LzxN1DNn3qNdLw7VKYvxBqvWMY45rhTeq4KoytyLUSA/signal_outputs/auto_readiness_review.md'}",ok,纸面交易/自动准备信号，不执行真实 swap
DQa4mxFws6WsXMwn8gpEBXqMsGfDn4Uopi8W2Zvopump,ELUENT,S3_进入SIKK结构分析,paper,ALLOW_PAPER_TRADE_允许纸面交易,低,S2_预备信号,SIKK-B 预备观察,2026-04-30 14:33:00 UTC,5.5245851e-05,76.0,0.0,5.3285971288e-05,,,"{'json': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/DQa4mxFws6WsXMwn8gpEBXqMsGfDn4Uopi8W2Zvopump/signal_outputs/token_readiness_result.json', 'risk': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/DQa4mxFws6WsXMwn8gpEBXqMsGfDn4Uopi8W2Zvopump/signal_outputs/risk_gate_report.json', 'signal': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/DQa4mxFws6WsXMwn8gpEBXqMsGfDn4Uopi8W2Zvopump/signal_outputs/signal_events.csv', 'paper': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/DQa4mxFws6WsXMwn8gpEBXqMsGfDn4Uopi8W2Zvopump/signal_outputs/paper_trades.csv', 'exit': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/DQa4mxFws6WsXMwn8gpEBXqMsGfDn4Uopi8W2Zvopump/signal_outputs/exit_plan.json', 'review': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/DQa4mxFws6WsXMwn8gpEBXqMsGfDn4Uopi8W2Zvopump/signal_outputs/auto_readiness_review.md'}",ok,纸面交易/自动准备信号，不执行真实 swap
7EGDrbCHHzqHgBry83L26ChDKhakDe17GqaaTE3Zpump,GRUMP,S3_进入SIKK结构分析,paper,ALLOW_PAPER_TRADE_允许纸面交易,低,S4_强确认信号,SIKK-B 控盘箱体突破回踩,2026-05-01 07:38:00 UTC,5.489374e-05,99.0,0.14318,4.5309015104e-05,33.7211,5.3229,"{'json': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/7EGDrbCHHzqHgBry83L26ChDKhakDe17GqaaTE3Zpump/signal_outputs/token_readiness_result.json', 'risk': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/7EGDrbCHHzqHgBry83L26ChDKhakDe17GqaaTE3Zpump/signal_outputs/risk_gate_report.json', 'signal': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/7EGDrbCHHzqHgBry83L26ChDKhakDe17GqaaTE3Zpump/signal_outputs/signal_events.csv', 'paper': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/7EGDrbCHHzqHgBry83L26ChDKhakDe17GqaaTE3Zpump/signal_outputs/paper_trades.csv', 'exit': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/7EGDrbCHHzqHgBry83L26ChDKhakDe17GqaaTE3Zpump/signal_outputs/exit_plan.json', 'review': 'data/gmgn_candidates_live_run_20260501T082334Z/candidate_signal_outputs/7EGDrbCHHzqHgBry83L26ChDKhakDe17GqaaTE3Zpump/signal_outputs/auto_readiness_review.md'}",ok,纸面交易/自动准备信号，不执行真实 swap
