扫描时间,来源分类,代币符号,代币名称,代币地址,创建时间戳,开盘时间戳,总供应量,发射平台,筛选等级,风险动作,是否进入候选池,当前市值USD,流动性USD,24H成交额USD,24H净买入USD,24H交易数,24H买笔数,24H卖笔数,Top10持仓率,Dev持仓率,rat异常占比,bot占比,鲸鱼持仓率,Dev发币数,Smart钱包数,KOL人数,新钱包比例,狙击钱包数,捆绑交易占比,Rug风险,结构加分,通过条件,排除原因,下一步动作
2026-05-01T08:23:43Z,completed,CCP,Chinese Communist Peptides,F8ZVdDU2EdqYaBuJsA488Hr1QPachasWnQF6k3TDpump,1777503039,1777581759,999999952,Pump.fun,S3_进入SIKK结构分析,ALLOW_ANALYSIS,是,558096.75988219,60778.83656802,1311858.43537691,34663.24220939,5277,3549,1728,0.1704,0,0,0.0378,0,1,1,1,0.0532,11,0.1347,0,4,市值达标；池子/流动性达标；24H成交额达标；24H净买入达标；24H交易数达标；24H买笔数达标；24H卖笔数达标；Top10持仓率达标；Dev持仓率达标；rat异常占比达标；bot占比达标；鲸鱼持仓率达标；Dev发币数达标；Rug风险达标；Smart钱包>=1；KOL人数>=1；存在狙击钱包；存在捆绑交易痕迹；净流入为正,无,拉取K线与 holders/traders；进入吸筹窗口与钱包结构分析
2026-05-01T08:23:43Z,completed,free,free,GoCeZ8QUUc5WEXW5swRiTKcmhybCKJ1YVKG4td8apump,1777562999,1777565249,952694678,Pump.fun,S3_进入SIKK结构分析,ALLOW_ANALYSIS,是,154045.28497903,32457.22227762,666630.66952858,19006.46766634,19775,13214,6561,0.1766,0.0074,0,0.2759,0,1,1,0,0.245,22,0.0248,0,4,市值达标；池子/流动性达标；24H成交额达标；24H净买入达标；24H交易数达标；24H买笔数达标；24H卖笔数达标；Top10持仓率达标；Dev持仓率达标；rat异常占比达标；bot占比达标；鲸鱼持仓率达标；Dev发币数达标；Rug风险达标；Smart钱包>=1；新钱包比例有结构痕迹；存在狙击钱包；存在捆绑交易痕迹；净流入为正,无,拉取K线与 holders/traders；进入吸筹窗口与钱包结构分析
2026-05-01T08:23:43Z,completed,AALIEN,Anon Alien,ARea51UmRfn22Ds7KwFZirSMEEn1gtBdrhW4zLeveeV1,1777562822,1777564934,999999746,Pump.fun,S3_进入SIKK结构分析,ALLOW_ANALYSIS,是,147099.79492007,30192.56445878,304652.11709789,16324.59430801,10915,5892,5023,0.292,0.0342,0,0.2349,0,1,2,0,0.1452,15,0.159,0,4,市值达标；池子/流动性达标；24H成交额达标；24H净买入达标；24H交易数达标；24H买笔数达标；24H卖笔数达标；Top10持仓率达标；Dev持仓率达标；rat异常占比达标；bot占比达标；鲸鱼持仓率达标；Dev发币数达标；Rug风险达标；Smart钱包>=1；新钱包比例有结构痕迹；存在狙击钱包；存在捆绑交易痕迹；净流入为正,无,拉取K线与 holders/traders；进入吸筹窗口与钱包结构分析
2026-05-01T08:23:43Z,completed,PEPE,Save The Frogs,5eK3XbtBCfqvK98eGDEve6fRLZALyZ1LvnQ6Zxm4pump,1777506882,1777519222,999960077,Pump.fun,S3_进入SIKK结构分析,ALLOW_ANALYSIS,是,96842.35009049,25580.8008433,866791.75257872,13794.93129871,12818,7233,5585,0.2918,0,0,0.3489,0,1,26,1,0.0164,14,0.1272,0,4,市值达标；池子/流动性达标；24H成交额达标；24H净买入达标；24H交易数达标；24H买笔数达标；24H卖笔数达标；Top10持仓率达标；Dev持仓率达标；rat异常占比达标；bot占比达标；鲸鱼持仓率达标；Dev发币数达标；Rug风险达标；Smart钱包>=1；KOL人数>=1；存在狙击钱包；存在捆绑交易痕迹；净流入为正,无,拉取K线与 holders/traders；进入吸筹窗口与钱包结构分析
2026-05-01T08:23:43Z,completed,HEALTH,Mental Health Awareness,6RhH7zVMckGazH6DMBQrKfpKc2C3M7Rk8D6HzEgqpump,1777539436,1777540250,999991947,Pump.fun,S3_进入SIKK结构分析,ALLOW_ANALYSIS,是,51008.81705329,18730.8465992,904274.11133606,13489.00762376,19560,11293,8267,0.2337,0,0,0.1873,0,1,9,1,0.041,35,0.0544,0,4,市值达标；池子/流动性达标；24H成交额达标；24H净买入达标；24H交易数达标；24H买笔数达标；24H卖笔数达标；Top10持仓率达标；Dev持仓率达标；rat异常占比达标；bot占比达标；鲸鱼持仓率达标；Dev发币数达标；Rug风险达标；Smart钱包>=1；KOL人数>=1；存在狙击钱包；存在捆绑交易痕迹；净流入为正,无,拉取K线与 holders/traders；进入吸筹窗口与钱包结构分析
2026-05-01T08:23:43Z,completed,FOFAR,FOFAR,Ha5Z2DfRv6Ar2nAeBLCGWHqzwXKL3of4DqKwzzwpump,1777498896,1777498896,999998970,Pump.fun,S3_进入SIKK结构分析,ALLOW_ANALYSIS,是,1336814.52915031,99579.80965441,1338608.31342357,13430.68791729,17459,9849,7610,0.1083,0.0027,0,0.1065,0,1,6,0,0.3735,13,0.1323,0,4,市值达标；池子/流动性达标；24H成交额达标；24H净买入达标；24H交易数达标；24H买笔数达标；24H卖笔数达标；Top10持仓率达标；Dev持仓率达标；rat异常占比达标；bot占比达标；鲸鱼持仓率达标；Dev发币数达标；Rug风险达标；Smart钱包>=1；新钱包比例有结构痕迹；存在狙击钱包；存在捆绑交易痕迹；净流入为正,无,拉取K线与 holders/traders；进入吸筹窗口与钱包结构分析
2026-05-01T08:23:43Z,completed,PEPX,Peptide DAO,9qy89gnSE6HkPPFigfJPWppuLsL3hTpE7HR3YE4Qpump,1777575724,1777575744,999997635,Pump.fun,S3_进入SIKK结构分析,ALLOW_ANALYSIS,是,52059.40910336,18038.39061427,282911.57453724,10141.27497005,6317,3509,2808,0.2528,0.0386,0,0.3155,0,1,10,0,0.1835,42,0.2435,0,4,市值达标；池子/流动性达标；24H成交额达标；24H净买入达标；24H交易数达标；24H买笔数达标；24H卖笔数达标；Top10持仓率达标；Dev持仓率达标；rat异常占比达标；bot占比达标；鲸鱼持仓率达标；Dev发币数达标；Rug风险达标；Smart钱包>=1；新钱包比例有结构痕迹；存在狙击钱包；存在捆绑交易痕迹；净流入为正,无,拉取K线与 holders/traders；进入吸筹窗口与钱包结构分析
2026-05-01T08:23:43Z,completed,UNITED,UNITED,LzxN1DNn3qNdLw7VKYvxBqvWMY45rhTeq4KoytyLUSA,1777478487,1777478499,999997397,meteora_virtual_curve,S3_进入SIKK结构分析,ALLOW_ANALYSIS,是,796324.92609152,117516.878966,1058816.67234986,19980.87007814,6832,3996,2836,0.0944,0.005,0,0.0969,0,1,11,3,0.0214,13,0,0,3,市值达标；池子/流动性达标；24H成交额达标；24H净买入达标；24H交易数达标；24H买笔数达标；24H卖笔数达标；Top10持仓率达标；Dev持仓率达标；rat异常占比达标；bot占比达标；鲸鱼持仓率达标；Dev发币数达标；Rug风险达标；Smart钱包>=1；KOL人数>=1；存在狙击钱包；净流入为正,无,拉取K线与 holders/traders；进入吸筹窗口与钱包结构分析
2026-05-01T08:23:43Z,completed,ELUENT,Eluent Peptides,DQa4mxFws6WsXMwn8gpEBXqMsGfDn4Uopi8W2Zvopump,1777548129,1777558665,999998981,Pump.fun,S3_进入SIKK结构分析,ALLOW_ANALYSIS,是,141298.52789638,30380.96794946,662132.42169671,17962.31114509,8777,4658,4119,0.2453,0,0,0.2136,0,1,14,0,0.0784,14,0.0445,0,3,市值达标；池子/流动性达标；24H成交额达标；24H净买入达标；24H交易数达标；24H买笔数达标；24H卖笔数达标；Top10持仓率达标；Dev持仓率达标；rat异常占比达标；bot占比达标；鲸鱼持仓率达标；Dev发币数达标；Rug风险达标；Smart钱包>=1；存在狙击钱包；存在捆绑交易痕迹；净流入为正,无,拉取K线与 holders/traders；进入吸筹窗口与钱包结构分析
2026-05-01T08:23:43Z,completed,GRUMP,Goblin Trump,7EGDrbCHHzqHgBry83L26ChDKhakDe17GqaaTE3Zpump,1777620106,1777620211,999999991,Pump.fun,S3_进入SIKK结构分析,ALLOW_ANALYSIS,是,58095.55985435,19324.80218989,382473.96756608,11406.97369097,26258,23301,2957,0.0522,0,0.0002,0.0089,0,1,2,0,0.0038,40,0.039,0,3,市值达标；池子/流动性达标；24H成交额达标；24H净买入达标；24H交易数达标；24H买笔数达标；24H卖笔数达标；Top10持仓率达标；Dev持仓率达标；rat异常占比达标；bot占比达标；鲸鱼持仓率达标；Dev发币数达标；Rug风险达标；Smart钱包>=1；存在狙击钱包；存在捆绑交易痕迹；净流入为正,无,拉取K线与 holders/traders；进入吸筹窗口与钱包结构分析
2026-05-01T08:23:43Z,completed,MGGA,Make Goblins Great Again,8E7bdJLwfLSeeWBkjTKEQPtRBJxzDB5MbfCjfTPHpump,1777623068,1777623241,1000000000,Pump.fun,S3_进入SIKK结构分析,ALLOW_ANALYSIS,是,61891.19423978,19538.38520402,236762.58375067,11281.75980047,2787,1646,1141,0.1366,0,0,0.2293,0,1,2,0,0.0101,54,0.1362,0,3,市值达标；池子/流动性达标；24H成交额达标；24H净买入达标；24H交易数达标；24H买笔数达标；24H卖笔数达标；Top10持仓率达标；Dev持仓率达标；rat异常占比达标；bot占比达标；鲸鱼持仓率达标；Dev发币数达标；Rug风险达标；Smart钱包>=1；存在狙击钱包；存在捆绑交易痕迹；净流入为正,无,拉取K线与 holders/traders；进入吸筹窗口与钱包结构分析
2026-05-01T08:23:43Z,completed,PEPTA,PeptaSwarm,7WddhpM5mLMTyS16Dqeru1mUcoHetVVkh92zU8Tppump,1777589284,1777589493,999999997,Pump.fun,S3_进入SIKK结构分析,ALLOW_ANALYSIS,是,50282.77114101,17503.53122134,158980.00177889,9368.52846645,3996,1953,2043,0.2257,0.0047,0.0003,0.346,0,1,6,0,0.0971,18,0.0823,0,3,市值达标；池子/流动性达标；24H成交额达标；24H净买入达标；24H交易数达标；24H买笔数达标；24H卖笔数达标；Top10持仓率达标；Dev持仓率达标；rat异常占比达标；bot占比达标；鲸鱼持仓率达标；Dev发币数达标；Rug风险达标；Smart钱包>=1；存在狙击钱包；存在捆绑交易痕迹；净流入为正,无,拉取K线与 holders/traders；进入吸筹窗口与钱包结构分析
2026-05-01T08:23:43Z,completed,CLUTCH,Clutch the Bald Eagle,74CQjPmRd5A7MGc7Dnp1kgUNdPsYtB8FNbtak2Padpce,1777560197,1777560699,999999446,meteora_virtual_curve,S3_进入SIKK结构分析,ALLOW_ANALYSIS,是,102132.43154699,21122.01033567,133902.84602056,13128.69961822,17699,12604,5095,0.166,0,0,0.0094,0,1,1,0,0.0011,1,0,0,2,市值达标；池子/流动性达标；24H成交额达标；24H净买入达标；24H交易数达标；24H买笔数达标；24H卖笔数达标；Top10持仓率达标；Dev持仓率达标；rat异常占比达标；bot占比达标；鲸鱼持仓率达标；Dev发币数达标；Rug风险达标；Smart钱包>=1；存在狙击钱包；净流入为正,无,拉取K线与 holders/traders；进入吸筹窗口与钱包结构分析
2026-05-01T08:23:43Z,completed,PXC,PROJECT X,PXCgWpfDv6hnNE9rac8qTk6Z1zWKJrRUcfjkVQWpXm7,1777561532,1777561532,999999999,Pump.fun,S2_重点观察,ALLOW_WATCH,是,82676.77008718,22600.18598661,181132.00625291,13972.62382856,758,371,387,0.1255,0.0047,0,0.0333,0,1,0,0,0.0193,25,0.0049,0,1,市值达标；池子/流动性达标；24H成交额达标；24H净买入达标；24H交易数达标；24H买笔数达标；24H卖笔数达标；Top10持仓率达标；Dev持仓率达标；rat异常占比达标；bot占比达标；鲸鱼持仓率达标；Dev发币数达标；Rug风险达标；存在狙击钱包；净流入为正,无,加入重点观察；等待结构确认
2026-05-01T08:23:43Z,completed,MSGA,Make Solana Great Again,DJWPpERd8aHL4oYkNmBLEUowBjTt4Wpd7WEJgMQdpump,1777581571,1777583034,831724378,Pump.fun,S1_普通观察,OBSERVE_ONLY,是,126283.31974592,31287.29974484,725802.94584073,18600.35603556,8827,4505,4322,0.2151,0.0019,0,0.7458,0,1,8,1,0.2743,15,0.2585,0,5,市值达标；池子/流动性达标；24H成交额达标；24H净买入达标；24H交易数达标；24H买笔数达标；24H卖笔数达标；Top10持仓率达标；Dev持仓率达标；rat异常占比达标；鲸鱼持仓率达标；Dev发币数达标；Rug风险达标；Smart钱包>=1；KOL人数>=1；新钱包比例有结构痕迹；存在狙击钱包；存在捆绑交易痕迹；净流入为正,无,进入低权重观察；等待下一轮 GMGN/K线确认
2026-05-01T08:23:43Z,completed,GA,Gamblers Anonymous,BhCuLLN38Ru7qBkXBmGzNeG6ipiAcqvywpvNjQW7pump,1777503766,1777504583,999724860,Pump.fun,S1_普通观察,OBSERVE_ONLY,是,180532.26632435,36619.25896893,383121.23220105,12653.19372815,5576,3052,2524,0.2093,0,0,0.4001,0,8934,25,5,0.1069,24,0.0635,0.009,5,市值达标；池子/流动性达标；24H成交额达标；24H净买入达标；24H交易数达标；24H买笔数达标；24H卖笔数达标；Top10持仓率达标；Dev持仓率达标；rat异常占比达标；鲸鱼持仓率达标；Rug风险达标；Smart钱包>=1；KOL人数>=1；新钱包比例有结构痕迹；存在狙击钱包；存在捆绑交易痕迹；净流入为正,无,进入低权重观察；等待下一轮 GMGN/K线确认
2026-05-01T08:23:43Z,completed,NONGMOODAENG,น้องหมูแดง,BZPRp1m5iXZerMdNChU5z1Kcd4MgLgGCCEdkmBpWpump,1777622584,1777622846,999999781,Pump.fun,S1_普通观察,OBSERVE_ONLY,是,60274.92409172,19359.47522405,350758.99920132,10602.61617069,7692,4204,3488,0.2518,0,0,0.6355,0,1058,7,5,0.1386,40,0.4051,0.01718582,5,市值达标；池子/流动性达标；24H成交额达标；24H净买入达标；24H交易数达标；24H买笔数达标；24H卖笔数达标；Top10持仓率达标；Dev持仓率达标；rat异常占比达标；鲸鱼持仓率达标；Rug风险达标；Smart钱包>=1；KOL人数>=1；新钱包比例有结构痕迹；存在狙击钱包；存在捆绑交易痕迹；净流入为正,无,进入低权重观察；等待下一轮 GMGN/K线确认
2026-05-01T08:23:43Z,completed,rice,1 grain of rice,2wQq3MrFFHPQnapMt1wnZ2vGkVZDv5ENDCrdLCqFpump,1777515488,1777517460,982049617,Pump.fun,S1_普通观察,OBSERVE_ONLY,是,68552.54970932,20823.43931984,151110.84032688,-4855.63945831,2517,1349,1168,0.2899,0,0,0.2168,0,1,4,2,0.2025,9,0.0236,0,5,市值达标；池子/流动性达标；24H成交额达标；24H交易数达标；24H买笔数达标；24H卖笔数达标；Top10持仓率达标；Dev持仓率达标；rat异常占比达标；bot占比达标；鲸鱼持仓率达标；Dev发币数达标；Rug风险达标；Smart钱包>=1；KOL人数>=1；新钱包比例有结构痕迹；存在狙击钱包；存在捆绑交易痕迹,无,进入低权重观察；等待下一轮 GMGN/K线确认
2026-05-01T08:23:43Z,completed,Life,Bucket List,533wS5wLqdr9JtnLfRW5WKv5cFdKHLKMnjwidJSgpump,1777602153,1777602217,999997813,Pump.fun,S1_普通观察,OBSERVE_ONLY,是,234184.64137433,40499.13386719,1203792.81703199,25821.5462361,21092,11378,9714,0.1688,0.005,0,0.5558,0,1,14,5,0.0957,32,0.2759,0,4,市值达标；池子/流动性达标；24H成交额达标；24H净买入达标；24H交易数达标；24H买笔数达标；24H卖笔数达标；Top10持仓率达标；Dev持仓率达标；rat异常占比达标；鲸鱼持仓率达标；Dev发币数达标；Rug风险达标；Smart钱包>=1；KOL人数>=1；存在狙击钱包；存在捆绑交易痕迹；净流入为正,无,进入低权重观察；等待下一轮 GMGN/K线确认
2026-05-01T08:23:43Z,completed,CHADLON,CHADLON MUSK,hLokvfUnqYUztoVdA4gwZnpvTKsPNefkdn2DyxGpump,1777610670,1777610680,999948430,Pump.fun,S1_普通观察,OBSERVE_ONLY,是,51996.92276616,19750.45723859,1688195.22609995,18047.3822122,34237,18155,16082,0.2328,0,0.0006,0.3711,0,1051,25,12,0.1591,92,0.2544,0.01725998,4,市值达标；池子/流动性达标；24H成交额达标；24H净买入达标；24H交易数达标；24H买笔数达标；24H卖笔数达标；Top10持仓率达标；Dev持仓率达标；rat异常占比达标；鲸鱼持仓率达标；Rug风险达标；Smart钱包>=1；新钱包比例有结构痕迹；存在狙击钱包；存在捆绑交易痕迹；净流入为正,无,进入低权重观察；等待下一轮 GMGN/K线确认
2026-05-01T08:23:43Z,completed,AGI,artificial goblin intelligence,3qwtMkiBc4uFSPmZeK7TMq8dVzmB4kCqnARXxAkmpump,1777400632,1777475489,878998152,pump_agent,S1_普通观察,OBSERVE_ONLY,是,72372.43927942,24396.28738843,1292193.7033522,16138.78832526,17018,9486,7532,0.2402,0,0,0.3969,0,12783,38,6,0.126,24,0.1496,0.002,4,市值达标；池子/流动性达标；24H成交额达标；24H净买入达标；24H交易数达标；24H买笔数达标；24H卖笔数达标；Top10持仓率达标；Dev持仓率达标；rat异常占比达标；鲸鱼持仓率达标；Rug风险达标；Smart钱包>=1；新钱包比例有结构痕迹；存在狙击钱包；存在捆绑交易痕迹；净流入为正,无,进入低权重观察；等待下一轮 GMGN/K线确认
2026-05-01T08:23:43Z,completed,小丫头,Stupid Orange Cat,J1UpPrMTEv2sNPFtB8ecyc4YScvrYoZJ7iriWJnwpump,1777561741,1777597919,999967061,Pump.fun,S1_普通观察,OBSERVE_ONLY,是,66423.54880009,19930.03826756,155927.76768235,10370.88674638,2583,1383,1200,0.2476,0,0,0.7321,0,36,4,1,0.0365,4,0.3489,0.12903226,4,市值达标；池子/流动性达标；24H成交额达标；24H净买入达标；24H交易数达标；24H买笔数达标；24H卖笔数达标；Top10持仓率达标；Dev持仓率达标；rat异常占比达标；鲸鱼持仓率达标；Rug风险达标；Smart钱包>=1；KOL人数>=1；存在狙击钱包；存在捆绑交易痕迹；净流入为正,无,进入低权重观察；等待下一轮 GMGN/K线确认
2026-05-01T08:23:43Z,completed,HANAMI,hanami,A2AeTCJn8w2AMPCg3iSiHMKJbADpEbXUURDG4XJpump,1777587556,1777621377,999999799,Pump.fun,S1_普通观察,OBSERVE_ONLY,是,55353.1441462,18303.90324682,272111.80264547,9579.22709306,8940,3599,5341,0.2358,0,0,0.42,0,1,6,0,0.1083,7,0.1929,0,4,市值达标；池子/流动性达标；24H成交额达标；24H净买入达标；24H交易数达标；24H买笔数达标；24H卖笔数达标；Top10持仓率达标；Dev持仓率达标；rat异常占比达标；鲸鱼持仓率达标；Dev发币数达标；Rug风险达标；Smart钱包>=1；新钱包比例有结构痕迹；存在狙击钱包；存在捆绑交易痕迹；净流入为正,无,进入低权重观察；等待下一轮 GMGN/K线确认
2026-05-01T08:23:43Z,completed,小丫头,xiǎo yā tou,BkjP1Um3ZZZTyGVxd7vrRaqGiaZC2K2Xk2VjKexzpump,1777461929,1777465715,999997224,Pump.fun,S1_普通观察,OBSERVE_ONLY,是,55073.27018596,18457.10684176,191560.99167207,5727.85476505,3678,1977,1701,0.2569,0,0,0.5612,0,40,13,1,0.0638,17,0.2425,0,4,市值达标；池子/流动性达标；24H成交额达标；24H净买入达标；24H交易数达标；24H买笔数达标；24H卖笔数达标；Top10持仓率达标；Dev持仓率达标；rat异常占比达标；鲸鱼持仓率达标；Rug风险达标；Smart钱包>=1；KOL人数>=1；存在狙击钱包；存在捆绑交易痕迹；净流入为正,无,进入低权重观察；等待下一轮 GMGN/K线确认
2026-05-01T08:23:43Z,completed,RJGN,RetardedJewishGayNigga,hpvoUYjKkvy2hyqC7444mU6eXFD3ETZW4tLd6Dapump,1777486590,1777486746,999988523,Pump.fun,S1_普通观察,OBSERVE_ONLY,是,305785.74937005,54303.51207497,1792876.14883459,5351.96600088,20713,10915,9798,0.1331,0,0,0.4457,0,1573,51,16,0.1014,53,0.1207,0.022,4,市值达标；池子/流动性达标；24H成交额达标；24H净买入达标；24H交易数达标；24H买笔数达标；24H卖笔数达标；Top10持仓率达标；Dev持仓率达标；rat异常占比达标；鲸鱼持仓率达标；Rug风险达标；Smart钱包>=1；新钱包比例有结构痕迹；存在狙击钱包；存在捆绑交易痕迹；净流入为正,无,进入低权重观察；等待下一轮 GMGN/K线确认
2026-05-01T08:23:43Z,completed,CHUDBOB,Chudbob,Bvh8xqP2nkzZBBEywAFqNAc7Mek7QiUofeTmTbKRpump,1776474817,1777492923,999977934,Pump.fun,S1_普通观察,OBSERVE_ONLY,是,70565.67435031,20787.42990798,71187.6599759,4088.16528592,1871,949,922,0.2294,0,0,0.44,0,34,10,3,0.0802,9,0.1974,0.03333333,4,市值达标；池子/流动性达标；24H成交额达标；24H交易数达标；24H买笔数达标；24H卖笔数达标；Top10持仓率达标；Dev持仓率达标；rat异常占比达标；鲸鱼持仓率达标；Rug风险达标；Smart钱包>=1；KOL人数>=1；存在狙击钱包；存在捆绑交易痕迹；净流入为正,无,进入低权重观察；等待下一轮 GMGN/K线确认
2026-05-01T08:23:43Z,completed,HIIE,Hyper Intelligent Innovations AI,AKKAPZBnJnzfE83DspsBSoqGSMwa2haFvoEJj1qzdrmk,1777300280,1777447979,992762635,meteora_virtual_curve,S1_普通观察,OBSERVE_ONLY,是,60988.68686909,23281.22741627,20800.12547229,3136.20334372,321,151,170,0.2938,0.0354,0,0.1375,0,2,4,3,0.0332,12,0.0434,0,4,市值达标；池子/流动性达标；24H交易数达标；24H买笔数达标；24H卖笔数达标；Top10持仓率达标；Dev持仓率达标；rat异常占比达标；bot占比达标；鲸鱼持仓率达标；Dev发币数达标；Rug风险达标；Smart钱包>=1；KOL人数>=1；存在狙击钱包；存在捆绑交易痕迹；净流入为正,无,进入低权重观察；等待下一轮 GMGN/K线确认
