代币地址,代币符号,当前状态,状态原因,候选筛选等级,吸筹窗口状态,T_start,T_end,信号等级,风险门禁,建议纸面仓位SOL,策略类型,更新时间,模式
F8ZVdDU2EdqYaBuJsA488Hr1QPachasWnQF6k3TDpump,CCP,PAPER_READY,吸筹窗口 valid + SIKK S3/S4 + 允许纸面交易 + 仓位大于0,S3_进入SIKK结构分析,valid,2026-04-30 21:18:00 UTC,2026-04-30 21:24:00 UTC,S4_强确认信号,ALLOW_PAPER_TRADE_允许纸面交易,0.2,SIKK-B 控盘箱体突破回踩,2026-05-01T08:23:52Z,paper/readiness
GoCeZ8QUUc5WEXW5swRiTKcmhybCKJ1YVKG4td8apump,free,BLOCKED,吸筹窗口 invalid，进入风险阻断观察,S3_进入SIKK结构分析,invalid,2026-04-30 16:47:00 UTC,2026-04-30 16:50:00 UTC,,,0.0,,2026-05-01T08:23:52Z,paper/readiness
ARea51UmRfn22Ds7KwFZirSMEEn1gtBdrhW4zLeveeV1,AALIEN,PAPER_READY,吸筹窗口 valid + SIKK S3/S4 + 允许纸面交易 + 仓位大于0,S3_进入SIKK结构分析,valid,2026-04-30 16:43:00 UTC,2026-04-30 16:49:00 UTC,S4_强确认信号,ALLOW_PAPER_TRADE_允许纸面交易,0.185696,SIKK-B 控盘箱体突破回踩,2026-05-01T08:23:52Z,paper/readiness
5eK3XbtBCfqvK98eGDEve6fRLZALyZ1LvnQ6Zxm4pump,PEPE,BLOCKED,吸筹窗口 invalid，进入风险阻断观察,S3_进入SIKK结构分析,invalid,2026-04-30 04:00:00 UTC,2026-04-30 04:03:00 UTC,,,0.0,,2026-05-01T08:23:52Z,paper/readiness
6RhH7zVMckGazH6DMBQrKfpKc2C3M7Rk8D6HzEgqpump,HEALTH,BLOCKED,吸筹窗口 invalid，进入风险阻断观察,S3_进入SIKK结构分析,invalid,2026-04-30 09:47:00 UTC,2026-04-30 09:50:00 UTC,,,0.0,,2026-05-01T08:23:52Z,paper/readiness
Ha5Z2DfRv6Ar2nAeBLCGWHqzwXKL3of4DqKwzzwpump,FOFAR,BLOCKED,吸筹窗口 invalid，进入风险阻断观察,S3_进入SIKK结构分析,invalid,2026-04-29 22:29:00 UTC,2026-04-29 22:35:00 UTC,,,0.0,,2026-05-01T08:23:52Z,paper/readiness
9qy89gnSE6HkPPFigfJPWppuLsL3hTpE7HR3YE4Qpump,PEPX,BLOCKED,吸筹窗口 invalid，进入风险阻断观察,S3_进入SIKK结构分析,invalid,2026-04-30 19:51:00 UTC,2026-04-30 19:55:00 UTC,,,0.0,,2026-05-01T08:23:52Z,paper/readiness
LzxN1DNn3qNdLw7VKYvxBqvWMY45rhTeq4KoytyLUSA,UNITED,PAPER_READY,吸筹窗口 valid + SIKK S3/S4 + 允许纸面交易 + 仓位大于0,S3_进入SIKK结构分析,valid,2026-04-29 16:37:00 UTC,2026-04-29 16:41:00 UTC,S4_强确认信号,ALLOW_PAPER_TRADE_允许纸面交易,0.056305,SIKK-B 控盘箱体突破回踩,2026-05-01T08:23:52Z,paper/readiness
DQa4mxFws6WsXMwn8gpEBXqMsGfDn4Uopi8W2Zvopump,ELUENT,WATCHING,SIKK 信号仍为观察/预备层,S3_进入SIKK结构分析,valid,2026-04-30 15:10:00 UTC,2026-04-30 15:15:00 UTC,S2_预备信号,ALLOW_PAPER_TRADE_允许纸面交易,0.0,SIKK-B 预备观察,2026-05-01T08:23:52Z,paper/readiness
7EGDrbCHHzqHgBry83L26ChDKhakDe17GqaaTE3Zpump,GRUMP,PAPER_READY,吸筹窗口 valid + SIKK S3/S4 + 允许纸面交易 + 仓位大于0,S3_进入SIKK结构分析,valid,2026-05-01 07:43:00 UTC,2026-05-01 08:11:00 UTC,S4_强确认信号,ALLOW_PAPER_TRADE_允许纸面交易,0.14318,SIKK-B 控盘箱体突破回踩,2026-05-01T08:23:52Z,paper/readiness
8E7bdJLwfLSeeWBkjTKEQPtRBJxzDB5MbfCjfTPHpump,MGGA,BLOCKED,风险门禁阻断或 SIKK 信号 SX,S3_进入SIKK结构分析,pending,,,SX_失效信号,ALLOW_PAPER_TRADE_允许纸面交易,0.0,风险监控,2026-05-01T08:23:52Z,paper/readiness
7WddhpM5mLMTyS16Dqeru1mUcoHetVVkh92zU8Tppump,PEPTA,BLOCKED,吸筹窗口 invalid，进入风险阻断观察,S3_进入SIKK结构分析,invalid,2026-04-30 23:33:00 UTC,2026-04-30 23:38:00 UTC,,,0.0,,2026-05-01T08:23:52Z,paper/readiness
74CQjPmRd5A7MGc7Dnp1kgUNdPsYtB8FNbtak2Padpce,CLUTCH,BLOCKED,风险门禁阻断或 SIKK 信号 SX,S3_进入SIKK结构分析,valid,2026-04-30 15:24:00 UTC,2026-04-30 15:53:00 UTC,SX_失效信号,ALLOW_PAPER_TRADE_允许纸面交易,0.0,风险监控,2026-05-01T08:23:52Z,paper/readiness
PXCgWpfDv6hnNE9rac8qTk6Z1zWKJrRUcfjkVQWpXm7,PXC,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S2_重点观察,,,,,,0.0,,2026-05-01T08:23:52Z,paper/readiness
DJWPpERd8aHL4oYkNmBLEUowBjTt4Wpd7WEJgMQdpump,MSGA,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,,2026-05-01T08:23:52Z,paper/readiness
BhCuLLN38Ru7qBkXBmGzNeG6ipiAcqvywpvNjQW7pump,GA,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,,2026-05-01T08:23:52Z,paper/readiness
BZPRp1m5iXZerMdNChU5z1Kcd4MgLgGCCEdkmBpWpump,NONGMOODAENG,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,,2026-05-01T08:23:52Z,paper/readiness
2wQq3MrFFHPQnapMt1wnZ2vGkVZDv5ENDCrdLCqFpump,rice,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,,2026-05-01T08:23:52Z,paper/readiness
533wS5wLqdr9JtnLfRW5WKv5cFdKHLKMnjwidJSgpump,Life,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,,2026-05-01T08:23:52Z,paper/readiness
hLokvfUnqYUztoVdA4gwZnpvTKsPNefkdn2DyxGpump,CHADLON,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,,2026-05-01T08:23:52Z,paper/readiness
3qwtMkiBc4uFSPmZeK7TMq8dVzmB4kCqnARXxAkmpump,AGI,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,,2026-05-01T08:23:52Z,paper/readiness
J1UpPrMTEv2sNPFtB8ecyc4YScvrYoZJ7iriWJnwpump,小丫头,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,,2026-05-01T08:23:52Z,paper/readiness
A2AeTCJn8w2AMPCg3iSiHMKJbADpEbXUURDG4XJpump,HANAMI,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,,2026-05-01T08:23:52Z,paper/readiness
BkjP1Um3ZZZTyGVxd7vrRaqGiaZC2K2Xk2VjKexzpump,小丫头,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,,2026-05-01T08:23:52Z,paper/readiness
hpvoUYjKkvy2hyqC7444mU6eXFD3ETZW4tLd6Dapump,RJGN,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,,2026-05-01T08:23:52Z,paper/readiness
Bvh8xqP2nkzZBBEywAFqNAc7Mek7QiUofeTmTbKRpump,CHUDBOB,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,,2026-05-01T08:23:52Z,paper/readiness
AKKAPZBnJnzfE83DspsBSoqGSMwa2haFvoEJj1qzdrmk,HIIE,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,,2026-05-01T08:23:52Z,paper/readiness
B85ta9Qp7EgoVXaMka9BQYrFogSmC3PRjsxNM6HaHF41,AMC,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,,2026-05-01T08:23:52Z,paper/readiness
