address,gmgn_note,reason,action
8Lzxj7G4wCKRwLvYe86eFK3jSy42dGWKPCpZWuQGnHG2,GABI-RETAIL_NOISE-E1-NOISE_SIDE,只读gmgn:token_holders证据；tags=top_holder；profit=0.0；hold=0.073581531707853；sell_ratio=0.0,risk_watch
HQRQQwFhGu2vcGjwASd649WJwZgGE7UWtRcQyACugL6M,GABI-RETAIL_NOISE-E1-NOISE_SIDE,只读gmgn:token_holders证据；tags=top_holder；profit=4375.357795660956；hold=0.010337820467346999；sell_ratio=0.5794944339062004,risk_watch
JB9o5TUPxpKhVgeEVhjcDYos6Jq8QCykASHT3cMg9xsi,GABI-RETAIL_NOISE-E1-NOISE_SIDE,只读gmgn:token_holders证据；tags=top_holder；profit=1778.536776138445；hold=0.0072412892669289994；sell_ratio=0.16663090824529214,risk_watch
Gc7JV9dxUGXu8LsRen6ZFYDxzyp6A8XT5RZpBxY5pfmc,GABI-RETAIL_NOISE-E1-NOISE_SIDE,只读gmgn:token_holders证据；tags=top_holder；profit=3297.974198250425；hold=0.007117585852372；sell_ratio=0.6563718723047843,risk_watch
3NZAx3pBHZs1qDTFqkZfmBFAmw5rvVvaqgciufwfdP26,GABI-RETAIL_NOISE-E1-NOISE_SIDE,只读gmgn:token_holders证据；tags=top_holder；profit=934.2101808293548；hold=0.006759248119854001；sell_ratio=0.5578726608231817,risk_watch
HaBoBXAbaMKUyFCS7qTtT4jA6ngqcrYc1HGtJygbqN9Y,GABI-RETAIL_NOISE-E1-NOISE_SIDE,只读gmgn:token_holders证据；tags=top_holder；profit=358.7057866285197；hold=0.003952755004124；sell_ratio=0.0,risk_watch
GZ855aMMZYHeHTxioe8TkYzNWZpApo8Hi7sPRHyXci3K,GABI-RETAIL_NOISE-E1-NOISE_SIDE,只读gmgn:token_holders证据；tags=top_holder；profit=870.4516580989845；hold=0.003656144945774；sell_ratio=0.6056579730269929,risk_watch
GQVGXaFozLzzmEwFLnjYWm2Y6efErgTGwgQMUdbra4Vy,GABI-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,只读gmgn:token_holders证据；tags=top_holder；profit=168.43903429344232；hold=0.002565919813364；sell_ratio=0.8161862250439021,risk_watch
DtA6K4PwVXtyzF8QEgCEvJf5uzRn9ZVFhVDU8XtgKyAu,GABI-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,只读gmgn:token_holders证据；tags=top_holder；profit=549.1171843862998；hold=0.002488087708487；sell_ratio=0.8741464720828117,risk_watch
J7Ucv2oaya9FeM5Lo2Y94W3WiAmL9G7EFkbiVTuGvnQG,GABI-RETAIL_NOISE-E1-NOISE_SIDE,只读gmgn:token_holders证据；tags=top_holder；profit=296.66644918299136；hold=0.002449274554416；sell_ratio=0.0,risk_watch
9Rr6ghsqPbXF4AbPL9G1pkRjhX3qkrw1wbbZ8cs5DbQT,GABI-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,只读gmgn:token_holders证据；tags=top_holder；profit=93.75835066951437；hold=0.002138874171367；sell_ratio=0.7005133828327704,risk_watch
EkR51R4DfUUmba823LiLJEeErodkkpd8akdPbTnNRmAH,GABI-RETAIL_NOISE-E1-NOISE_SIDE,只读gmgn:token_holders证据；tags=无；profit=151.75997650144143；hold=0.002134918069508；sell_ratio=0.0,risk_watch
HgfRK2sTHbfWYGBw7SH6JREqkyCYr2EqYcG2kYAoJJ6P,GABI-RETAIL_NOISE-E1-NOISE_SIDE,只读gmgn:token_holders证据；tags=无；profit=153.69290523667553；hold=0.00208229337659；sell_ratio=0.0,risk_watch
9imykV5FdxtAHkUGJRg8cwMejBwa3dSV27so5U7CUkDM,GABI-RETAIL_NOISE-E1-NOISE_SIDE,只读gmgn:token_holders证据；tags=无；profit=263.7196806611506；hold=0.002057656807491；sell_ratio=0.5896620421098544,risk_watch
Hnd8Sohcbw1TSbjgTpZwKCaegMwwMxbj9X8gMYVbqwYW,GABI-RETAIL_NOISE-E1-NOISE_SIDE,只读gmgn:token_holders证据；tags=无；profit=369.99179086440984；hold=0.002017783053432；sell_ratio=0.0,risk_watch
E9qwgwacKoiMveLzzbSQ1V3LQxvbRkfAmrPFEX9AmYtp,GABI-RETAIL_NOISE-E1-NOISE_SIDE,只读gmgn:token_holders证据；tags=无；profit=119.1870465792748；hold=0.0019797165647189997；sell_ratio=0.0,risk_watch
GYf9zXjb6Xk6qjuKvPft1DRjaDQZa4Lv9mxRhEk392NV,GABI-RETAIL_NOISE-E1-NOISE_SIDE,只读gmgn:token_holders证据；tags=axiom；profit=412.5603578866727；hold=0.0019739537471360003；sell_ratio=0.37412861691041827,risk_watch
GiuaZuVX7661iYnBVojrZv6pmafX9tzh6yBojc4fCMM4,GABI-RETAIL_NOISE-E1-NOISE_SIDE,只读gmgn:token_holders证据；tags=无；profit=392.6279989428043；hold=0.001961250785515；sell_ratio=0.0,risk_watch
7i1nBmiyaN6TtSvv7DqjsbeWBYN5JxDyjAdVXhHMwQex,GABI-RETAIL_NOISE-E1-NOISE_SIDE,只读gmgn:token_holders证据；tags=无；profit=60.244203473872204；hold=0.0019571951490289998；sell_ratio=0.592905257289461,risk_watch
ErEAMs12wxmWaS5A885Srr6698c8Cbtoj7UQvYDdLUGa,GABI-RETAIL_NOISE-E1-NOISE_SIDE,只读gmgn:token_holders证据；tags=无；profit=469.8383488950588；hold=0.001948353449063；sell_ratio=0.2710073571886574,risk_watch
DpUcxfQ1X1tnvvk2MeGfaBni5aAxBVeD9xproqKn7PgN,GABI-RETAIL_NOISE-E1-NOISE_SIDE,只读gmgn:token_holders证据；tags=无；profit=205.20196033795736；hold=0.001934759116219；sell_ratio=0.5605711200529765,risk_watch
CuU39KoKiRaG4s2BvS9TxdorfeY8rgeNpXQ3kJKaxvDE,GABI-RETAIL_NOISE-E1-NOISE_SIDE,只读gmgn:token_holders证据；tags=无；profit=116.44428213636667；hold=0.001921101592741；sell_ratio=0.0,risk_watch
FbfeaH9Pd2bTqddYRwKC8ypBTmD7LRoASAcprpjA8o8p,GABI-RETAIL_NOISE-E1-NOISE_SIDE,只读gmgn:token_holders证据；tags=无；profit=456.76294535826923；hold=0.001906369374888；sell_ratio=0.28132678278593115,risk_watch
FJrxrXD5RodUVrbiJKSUZ29VEsqJ6t4uY9BVAoV5Bbk8,GABI-RETAIL_NOISE-E1-NOISE_SIDE,只读gmgn:token_holders证据；tags=无；profit=348.2983172960119；hold=0.001902573901016；sell_ratio=0.0,risk_watch
GHTqLZVQYajYMAGcg7SwPqADhmA5qtpVkb7434Uwzx8Q,GABI-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,只读gmgn:token_holders证据；tags=无；profit=-106.39470098253881；hold=0.00189080235889；sell_ratio=0.757787662741834,risk_watch
EbPNkfX6hWmFVV5vF6X7myKkNv6eWpswUnFiVULYePSe,GABI-RETAIL_NOISE-E1-NOISE_SIDE,只读gmgn:token_holders证据；tags=bundler；profit=348.1230620207831；hold=0.001885301282641；sell_ratio=0.0,risk_watch
DEj1B44eAVPbFGfCdF5eF8Ujoe38dRuGAd5CQMXEbGuQ,GABI-RETAIL_NOISE-E1-NOISE_SIDE,只读gmgn:token_holders证据；tags=无；profit=53.265437563767506；hold=0.001878567239819；sell_ratio=0.4893328842510226,risk_watch
HqEwrm7t8s1KcS7UFReCKMxrPMf6f69fcUQJDztSj2Tc,GABI-RETAIL_NOISE-E1-NOISE_SIDE,只读gmgn:token_holders证据；tags=无；profit=399.55440169144424；hold=0.001863783452626；sell_ratio=0.36148193043450305,risk_watch
DsmdvG3MndkWnw7nPpnWXQiAyz845iUGn28H3SNFSSUm,GABI-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,只读gmgn:token_holders证据；tags=无；profit=986.8768704484381；hold=0.001862869103679；sell_ratio=0.9208110448290177,risk_watch
G6U3Q57Ta6gRSPV2qXHu34YuhV1nYf5VBVU7dj9nFnGs,GABI-RETAIL_NOISE-E1-NOISE_SIDE,只读gmgn:token_holders证据；tags=无；profit=10.056896216334238；hold=0.001853439335325；sell_ratio=0.3867535983085456,risk_watch
CSQAjaH2QC5G8g2qo23DFNJeDHko3pqUegeusMDutrXa,GABI-RETAIL_NOISE-E1-NOISE_SIDE,只读gmgn:token_holders证据；tags=无；profit=470.3257653083165；hold=0.001841804568424；sell_ratio=0.5352228948410723,risk_watch
DFo1iFEP4V4u2vfTJmqveRGoaD9rqQFAueSmMQ5rDTV8,GABI-RETAIL_NOISE-E1-NOISE_SIDE,只读gmgn:token_holders证据；tags=无；profit=361.2161026853381；hold=0.001823618262539；sell_ratio=0.30743227604263434,risk_watch
DzfDtdrE2FMAh8jFu1PjQfu5YXJ2xGA3zHaoshRCwMur,GABI-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,只读gmgn:token_holders证据；tags=无；profit=-10.230307081042753；hold=0.001788732564373；sell_ratio=0.8520781527602539,risk_watch
HKEsrnrtsigMcJAsQMk5C2tHoVLRiRwkY8ga2JoCU99d,GABI-RETAIL_NOISE-E1-NOISE_SIDE,只读gmgn:token_holders证据；tags=无；profit=400.1109661843969；hold=0.0017841939485259998；sell_ratio=0.212753598349115,risk_watch
HJaXVswxCdMA5uEhK2VHPCczscwTa64WW3iJ1JApJEa8,GABI-RETAIL_NOISE-E1-NOISE_SIDE,只读gmgn:token_holders证据；tags=无；profit=338.6834729267654；hold=0.001770422549037；sell_ratio=0.0,risk_watch
BvTD7vzjCz7NSFJPWURf1gP6QS1Et5GGC1uLiK5QV7Py,GABI-RETAIL_NOISE-E1-NOISE_SIDE,只读gmgn:token_holders证据；tags=无；profit=501.8859288360384；hold=0.0017637976942420002；sell_ratio=0.46562478087605214,risk_watch
8TiYDCdMxVWX1x1w63muzXJqAkvEYF1r3tHXt9WtC4W9,GABI-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,只读gmgn:token_holders证据；tags=无；profit=61.38717564559908；hold=0.001749002183112；sell_ratio=0.8048248763085486,risk_watch
CgMfFUVnk1coxBDsa9myH7UWjDCeFoCrCScYy9eeU1ui,GABI-RETAIL_NOISE-E1-NOISE_SIDE,只读gmgn:token_holders证据；tags=无；profit=488.61046938490097；hold=0.0017472896588850001；sell_ratio=0.594871089263465,risk_watch
GN2gHk2s7o4ZGGQLXueao5qptoa5Z6s9Fj3CumhjNSxk,GABI-RETAIL_NOISE-E1-NOISE_SIDE,只读gmgn:token_holders证据；tags=无；profit=403.8332658549792；hold=0.0017196959436389999；sell_ratio=0.16703148228929623,risk_watch
Bu9b9i2ijWnLGy6iLvyW9j1en5FWvxY6NwEqm3qWziuh,GABI-RETAIL_NOISE-E1-NOISE_SIDE,只读gmgn:token_holders证据；tags=无；profit=226.05276037432782；hold=0.001715142388073；sell_ratio=0.3351659795725385,risk_watch
G4WWWuue6y9tzymnH8xdc9QHvtmgXv2qkSac9SerY2Cu,GABI-RETAIL_NOISE-E1-NOISE_SIDE,只读gmgn:token_holders证据；tags=无；profit=120.8510296260796；hold=0.0016922876314340001；sell_ratio=0.0,risk_watch
FQj2rAX2dHk4kGKfr9VVQ6Msf1k5oeCJ4eYumM3691XG,GABI-RETAIL_NOISE-E1-NOISE_SIDE,只读gmgn:token_holders证据；tags=无；profit=31.969450092485886；hold=0.001672060606409；sell_ratio=0.0,risk_watch
GYxUD5VKQeECGHXBAW1vgE88zi2Qx2Mehnx8BpCsx571,GABI-RETAIL_NOISE-E1-NOISE_SIDE,只读gmgn:token_holders证据；tags=无；profit=397.4337913574963；hold=0.001658859424484；sell_ratio=0.5137815871378619,risk_watch
HU4KvZrtxX6gA4dtWFKtQzwDmwaHYA36SG2r5CQraBKG,GABI-RETAIL_NOISE-E1-NOISE_SIDE,只读gmgn:token_holders证据；tags=无；profit=365.6699485869957；hold=0.001644466426191；sell_ratio=0.36358856171221504,risk_watch
GaUodRFZw9MLxQ7ZLg1CmNdL7skf5zzHbVwAFmX2Gxca,GABI-RETAIL_NOISE-E1-NOISE_SIDE,只读gmgn:token_holders证据；tags=无；profit=340.645348526232；hold=0.001643888550768；sell_ratio=0.36037370160170246,risk_watch
GXTYrNSxndaFYpn9DCqeoFX7BgbmuuTZyZziv8DBFM2q,GABI-RETAIL_NOISE-E1-NOISE_SIDE,只读gmgn:token_holders证据；tags=无；profit=350.8745094105293；hold=0.001641998219214；sell_ratio=0.25106397160209215,risk_watch
HiFeFPHdvs3WTydKLPKxVmgRbZmvGq3FJA3XKewmzrRE,GABI-RETAIL_NOISE-E1-NOISE_SIDE,只读gmgn:token_holders证据；tags=无；profit=301.15321865139316；hold=0.0016419244002129998；sell_ratio=0.23846367765939488,risk_watch
DG4sXhGvbuSCTtqVAwJ85frHwu3G75LLtVrkts39iHiA,GABI-RETAIL_NOISE-E1-NOISE_SIDE,只读gmgn:token_holders证据；tags=无；profit=252.56892280332747；hold=0.001631696967994；sell_ratio=0.6476272336965385,risk_watch
CtGQzxyCta1dPZPwU85kADR76KgrfG5nYET7nRd62Mw7,GABI-RETAIL_NOISE-E1-NOISE_SIDE,只读gmgn:token_holders证据；tags=无；profit=384.8932717641801；hold=0.0016268497842290002；sell_ratio=0.20986542445741718,risk_watch
