钱包地址,首次买入时间,买入延迟,所属时间窗口,买入金额,卖出金额,当前持仓,卖出占比,钱包角色,game_side,资金来源状态,原始证据引用
4prwF2THukSaQwfMmZ53MTatqtC18GZBRdDW9EMpwsNp,,,,,,0.060583087948531164,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
dNnuySdFBhWNT8wpRHtnioksxgiY2iUWYWs7oNTazrv,,,,,,0.04421859680222861,0.5646860240617257,HIGH_RESULT_WALLET,STRUCTURE_SIDE,资金待查,token_traders
Bua2TMXfNQ1upTizbsSx8FUwhWy9xcCXgtioWGaqsa1B,,,,,,0.04359875491189699,0.6417928335061953,HIGH_RESULT_WALLET,STRUCTURE_SIDE,资金待查,token_traders
ALieNgvC1mMaqn6RKyHbJim3rSGwYYMKsgUUfkbC7zYL,,,,,,0.03419922223798323,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
4hkrKpsrqH5tRoxwCXktJ9VzyRyXJTDnPJ7wpzxNFhvx,,,,,,0.025741702144359502,0.3727556266549946,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
3ba3yevAekRz2nHM4QCu9rsanzyRTvuTg35wpYkSu7iT,,,,,,0.023885345956891388,0.17634914756377512,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
2CdSE5h3nwTBmjbqfhdff5dBV4ywcS9Qhk8oZGDFBHCi,,,,,,0.022767104711054535,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
4WzPdc6amV7Q9E2wL1EFkAnFPd3uVrqkAbfGk9Wk5Drf,,,,,,0.022217932874314474,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
5FUYuP4r5rHWj3qaeurezB8xVZUxoDihVx9n4F1KKWwe,,,,,,0.020198120794831527,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
9gRgFUDLdBH2zy6p8LJjnGZayDqy6JTL8TsYsJ2WnZXR,,,,,,0.01878311613982992,0.0,HIGH_RESULT_WALLET,STRUCTURE_SIDE,资金待查,token_holders
2K4Mbd8VJKXZUbYMXbXgkFp5qiZugnMp9HppZwcTp7gs,,,,,,0.015936131242657366,0.5594750569770065,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
BF69QrWvp3SLwwEVgU6jBR65ETCPHa2yvyvEbkDaWjKT,,,,,,0.015148590596123144,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
AVXxBLz7SXur6woa96R6vgNVkjtDChu1X971PHYV38vH,,,,,,0.01439139067992439,0.0,HIGH_RESULT_WALLET,STRUCTURE_SIDE,资金待查,token_holders
5ab4e3idbofWFV41RzYUD3AHb2qVESRBNoBuyLcJUxnf,,,,,,0.013076348765039958,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
2cxjRs8bt5EBxbcSJkY1AXLX5UCYq23pWn83EckDMdCv,,,,,,0.012276455731090753,0.4561409543565994,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
ADEE7URpHeXdtPbk2J1ZckGaGNPxaTAEAXjUE8Lmo8xe,,,,,,0.011858597519248013,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
gzS7xUw3T8datpD3VK8b3QXF8FXuj4R3y1S1X4TyeGm,,,,,,0.011768649288831952,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
Hv3Qoz3v18SGrD647m8n5QYz5tfFoBASgADNE4HhA9Hw,,,,,,0.011494741137852297,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
2LS1PK3mHzmrtxPf4F1B2t1a8AtLqiZe3sW9kaFXa4D9,,,,,,0.011109162561673873,0.5107665388127229,HIGH_RESULT_WALLET,STRUCTURE_SIDE,资金待查,token_holders
ACh8ETRD5pGpNqpf7GgzMRRuBYBSp89RWJXUKDJMzH6p,,,,,,0.01093934735279917,0.30901724581202844,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
8R4CgYotoPp6uqazM6j6nugs31S2FJXYY5VDyGCwJuVu,,,,,,0.01055916574430765,0.18043469515251034,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
DwevWovtiMh7nAPJA5dQS8VAZfPmqCyeEvkNbrNNQDcV,,,,,,0.010000005590003126,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
HVny68gTosLTwWhbsM1SbZq3fuWXac8taacXW9xvzYeu,,,,,,0.009972871901668394,0.5993626709760409,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
5hbmvFgPrcCbyj67KCvFZMdnkZD2Exs6M74bA19PrXfN,,,,,,0.009776079041184183,0.12977615077572466,RETAIL_NOISE,NOISE_SIDE,资金待查,token_traders
FBxPRVH6vCFBXhn5N8iocAvWCNVBr9MQrSt8RhXbair5,,,,,,0.00975019717432222,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
4C9EfNbsiDeLczAg2vFhApb4A7qB3mUAvXJVQXgDzk3F,,,,,,0.00972222765694926,0.0277777777776,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
