address	chain	token_symbol	token_address	gmgn_tags	address_type	token_source_type	funding_source_type	first_buy_time_utc	last_active_utc	holding_pct	holding_value_usd	buy_volume_usd	sell_volume_usd	sell_pct	total_profit_usd	realized_profit_usd	unrealized_profit_usd	token_source_address	funding_source	final_role	evidence_level	signal_direction	action_code	write_to_database	suggest_gmgn_track	review_priority	sikk_remark
Gr3k2DGNLnFVZqwhvSBE9xLxe4CN1uGtB3RACCbsJH4	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	top_holder	基础设施	主动买入	未知源	00:18:12	02:53:13	7.846%	26205.49	0	0	0.000%	0	0	0			LP池子	I1	排除	I	基础设施地址库,地址关系边库	是	无	LP/Pool基础设施，不进入普通钱包评分
GQjwMEMvfAPngTPd6o5w2sZzt6xvaZho9gYSgEqc8FAT	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	top_holder	基础设施	主动买入	未知源	00:38:42	02:53:13	3.064%	10232.00	0	0	0.000%	0	0	0			LP池子	I1	排除	I	基础设施地址库,地址关系边库	是	无	LP/Pool基础设施，不进入普通钱包评分
DxM1hfY8FQ8dNGrucuJzhJcF8KRbjk8WBwrgKvQ9spPv	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	fomo,kol,top_holder,bundler	普通钱包	主动买入	路由/工具节点候选	00:25:41	01:29:29	1.628%	5436.66	5417.08	483.56	4.338%	500.44	248.45	251.98		GnRFFi8CW1gVuUKYyoFjm4cxfAfX1iE2iGgp7DSwJJB5	结果钱包/KOL钱包	E3	正向+社交	A3	地址主档库,钱包结果档案库	观察	中	KOL参与，注意后续派发
5NFTuwcYtYosyVhviRYgQgpNc8VYQ4cXt6fGx9qZ5Pyk	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	axiom,padre,top_holder,transfer_in	普通钱包	转入	路由/工具节点候选	00:21:39	02:51:15	2.121%	7082.36	962.29	0	0.000%	701.16	0	701.16	Tynin7Xm5Pu2GGKSmmSuQp1GBeVq6t6JpycJWQy5ovd	DoAsxPQgiyAxyaJNvpAAUb2ups6rbJRdYrCPyWxwRxBb	分发接收钱包	E4	结构	A4	地址主档库,Token来源库,地址关系边库	是	高	Token转入/接收，需追token_source_address
2fg5QD1eD7rzNNCsvnhmXFm5hqNgwTTG8p7kQ6f3rx6f	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	kol,axiom,gmgn,wash_trader,bundler,transfer_in,paper_hands	普通钱包	转入	路由/工具节点候选	02:34:09	02:35:28	0.000%	0	1088.33	2265.21	100.000%	364.71	364.71	0	suqh5sHtr8HyJ7q8scBimULPkPpA557prMG47xCHQfK	AxiomRXZAq1Jgjj9pHmNqVP7Lhu67wLXZJZbaK87TTSk	分发派发钱包	E4/R2	结构+风险	A4+R	地址主档库,Token来源库,风险地址库,地址关系边库	是	高	Token转入后高比例卖出，疑似分发后派发
GijFWw4oNyh9ko3FaZforNsi3jk6wDovARpkKahPD4o5	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	axiom,photon,padre,bundler,transfer_in	普通钱包	转入	路由/工具节点候选	00:18:06	02:53:01	0.000%	0	1089.65	14671.01	100.000%	12743.74	12743.74	0	B2UdLdkJSk4tSnvHPupozH6gi1TPCS3rv3npd57G1Aut	AxiomRXZAq1Jgjj9pHmNqVP7Lhu67wLXZJZbaK87TTSk	分发派发钱包	E4/R2	结构+风险	A4+R	地址主档库,Token来源库,风险地址库,地址关系边库	是	高	Token转入后高比例卖出，疑似分发后派发
JBhVoSaXknLocuRGMUAbuWqEsegHA8eG1wUUNM2MBYiv	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	axiom,top_holder,bundler	普通钱包	主动买入	路由/工具节点候选	00:22:08	01:11:34	3.285%	10973.01	7923.59	1237.44	4.871%	4282.03	880.59	3401.44		AxiomRXZAq1Jgjj9pHmNqVP7Lhu67wLXZJZbaK87TTSk	普通交易钱包	E2	中性	A2	地址主档库	观察	中	Top holder但关键结构证据不足
EmfYATLLQWYPDiqHxBFFKNzPFZTEPLupknMWAJZLzgwP	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	fomo,top_holder,transfer_in	普通钱包	转入	路由/工具节点候选	00:52:09	00:59:07	2.767%	9242.12	14156.71	0	0.000%	-12403.10	0	-12403.10	65kmABTfVidnwPzs5bfeyptpM2ewkkNewnJK6QwUSKXE	22zjkDKzquzFCCvnxRSYQU1Bb6gSu52LTEU3ZCBBQYuf	分发接收钱包	E4	结构	A4	地址主档库,Token来源库,地址关系边库	是	高	Token转入/接收，需追token_source_address
EudeGkdbwb7gr5rNdmsDqaAFPyy63kW2TC6WV1otFaZd	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	fomo,top_holder,bundler	普通钱包	主动买入	路由/工具节点候选	00:27:23	02:45:11	1.161%	3877.92	7295.91	5599.06	36.791%	2179.21	3100.26	-921.05		CCjSeiVUuUfqiUm9zok6AEWKca3HKogSQgToLpDrg8g5	普通交易钱包	E2	中性	A2	地址主档库	观察	中	Top holder但关键结构证据不足
7zNeNdCtyteKLop816zN6HoCyhYXtQf9U8jnW7FNVgXX	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	fomo,top_holder,bundler	普通钱包	主动买入	路由/工具节点候选	00:57:56	02:53:03	1.216%	4062.17	6723.21	0	0.000%	-2663.90	0	-2663.90		D89hHJT5Aqyx1trP6EnGY9jJUB3whgnq3aUvvCqedvzf	普通交易钱包	E2	中性	A2	地址主档库	观察	中	Top holder但关键结构证据不足
GExMN6extw7JyLe3jENEZwULyyqbDxxcrfF44VFLvFAT	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	smart_degen,bundler	普通钱包	主动买入	路由/工具节点候选	00:28:46	02:52:31	0.808%	2827.06	4995.42	4532.50	40.055%	2361.14	2387.21	-26.07		BNuebGMyAsrLytsS13whc3qUqbnM9mVwUJcumD31m5zA	结果钱包	E4	正向	A4	地址主档库,钱包结果档案库	是	高	Smart Money高结果，需复盘稳定性
4oqLr7WAC6VeLWnhDkw8QA4HFbxsT8iAgNbCXmNJzexZ	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	smart_degen,bundler	普通钱包	主动买入	路由/工具节点候选	02:51:54	02:52:33	0.294%	1028.43	887.89	0	0.000%	140.07	0	140.07		GfjD8eab6ebLRnbvjMHo2P11JFKrv2xrkVXVdQtktwTk	普通交易钱包	E1	中性	A1	地址主档库	否	低	低权重记录
DZwgxGwTzaqFV91dBnoTeJWbirA4MCjwVNJ5jFfCpsSC	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	smart_degen,bundler	普通钱包	主动买入	路由/工具节点候选	02:50:57	02:52:20	0.247%	864.2	893.3	0	0.000%	-29.57	0	-29.57		8J7NGPfkD4oF2Pu8zXbxNvNfqhjaW668WnkNu7VrUv17	普通交易钱包	E1	中性	A1	地址主档库	否	低	低权重记录
5AxPHM7K7qN11cJ9VJcjcvdWoEyvtCixY2g4yvXL8AeM	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	smart_degen,bundler,paper_hands	普通钱包	主动买入	路由/工具节点候选	02:52:01	02:52:21	0.031%	108.24	273.87	223.18	57.052%	56.74	47.74	9		fr6yQkDmWy6R6pecbUsxXaw6EvRJznZ2HsK5frQgud8	普通交易钱包	E1	中性	A1	地址主档库	否	低	低权重记录
J2ECnk4MJQ8boxN77ss8fTkQRQxG7JmEUEGbARjxBPaz	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	smart_degen,axiom,bundler,paper_hands	普通钱包	主动买入	路由/工具节点候选	02:52:14	02:52:14	0.089%	311.73	676.88	313.46	34.110%	-52.33	-116.46	64.13		5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9	普通交易钱包	E1	中性	A1	地址主档库	否	低	低权重记录
