review_id	address	chain	token_symbol	token_address	review_window	review_priority	review_focus	expected_update_action
ewon_Gr3k2D	Gr3k2DGNLnFVZqwhvSBE9xLxe4CN1uGtB3RACCbsJH4	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	T+24h,T+72h	无	卖出/转出/资金回流/角色升级降级	保持/升级/降级/转风险
ewon_GQjwME	GQjwMEMvfAPngTPd6o5w2sZzt6xvaZho9gYSgEqc8FAT	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	T+24h,T+72h	无	卖出/转出/资金回流/角色升级降级	保持/升级/降级/转风险
ewon_DxM1hf	DxM1hfY8FQ8dNGrucuJzhJcF8KRbjk8WBwrgKvQ9spPv	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	T+6h,T+24h,T+72h	中	卖出/转出/资金回流/角色升级降级	保持/升级/降级/转风险
ewon_5NFTuw	5NFTuwcYtYosyVhviRYgQgpNc8VYQ4cXt6fGx9qZ5Pyk	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	T+1h,T+6h,T+24h,T+72h,T+7d	高	卖出/转出/资金回流/角色升级降级	保持/升级/降级/转风险
ewon_2fg5QD	2fg5QD1eD7rzNNCsvnhmXFm5hqNgwTTG8p7kQ6f3rx6f	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	T+1h,T+6h,T+24h,T+72h,T+7d	高	卖出/转出/资金回流/角色升级降级	保持/升级/降级/转风险
ewon_GijFWw	GijFWw4oNyh9ko3FaZforNsi3jk6wDovARpkKahPD4o5	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	T+1h,T+6h,T+24h,T+72h,T+7d	高	卖出/转出/资金回流/角色升级降级	保持/升级/降级/转风险
ewon_JBhVoS	JBhVoSaXknLocuRGMUAbuWqEsegHA8eG1wUUNM2MBYiv	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	T+24h,T+72h	中	卖出/转出/资金回流/角色升级降级	保持/升级/降级/转风险
ewon_EmfYAT	EmfYATLLQWYPDiqHxBFFKNzPFZTEPLupknMWAJZLzgwP	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	T+1h,T+6h,T+24h,T+72h,T+7d	高	卖出/转出/资金回流/角色升级降级	保持/升级/降级/转风险
ewon_EudeGk	EudeGkdbwb7gr5rNdmsDqaAFPyy63kW2TC6WV1otFaZd	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	T+24h,T+72h	中	卖出/转出/资金回流/角色升级降级	保持/升级/降级/转风险
ewon_7zNeNd	7zNeNdCtyteKLop816zN6HoCyhYXtQf9U8jnW7FNVgXX	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	T+24h,T+72h	中	卖出/转出/资金回流/角色升级降级	保持/升级/降级/转风险
ewon_GExMN6	GExMN6extw7JyLe3jENEZwULyyqbDxxcrfF44VFLvFAT	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	T+1h,T+6h,T+24h,T+72h,T+7d	高	卖出/转出/资金回流/角色升级降级	保持/升级/降级/转风险
ewon_4oqLr7	4oqLr7WAC6VeLWnhDkw8QA4HFbxsT8iAgNbCXmNJzexZ	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	T+24h,T+72h	低	卖出/转出/资金回流/角色升级降级	保持/升级/降级/转风险
ewon_DZwgxG	DZwgxGwTzaqFV91dBnoTeJWbirA4MCjwVNJ5jFfCpsSC	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	T+24h,T+72h	低	卖出/转出/资金回流/角色升级降级	保持/升级/降级/转风险
ewon_5AxPHM	5AxPHM7K7qN11cJ9VJcjcvdWoEyvtCixY2g4yvXL8AeM	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	T+24h,T+72h	低	卖出/转出/资金回流/角色升级降级	保持/升级/降级/转风险
ewon_J2ECnk	J2ECnk4MJQ8boxN77ss8fTkQRQxG7JmEUEGbARjxBPaz	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	T+24h,T+72h	低	卖出/转出/资金回流/角色升级降级	保持/升级/降级/转风险
ewon_2JLTKc	2JLTKcECTybkCEp64v7V4P4FijjKiMgKnFkX2WwRWTM6	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	T+24h,T+72h	低	卖出/转出/资金回流/角色升级降级	保持/升级/降级/转风险
ewon_EXUzBT	EXUzBTmHcYYwoHXjVi4zRBrj92iAcbnDRnsjs5SZ5PoC	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	T+24h,T+72h	低	卖出/转出/资金回流/角色升级降级	保持/升级/降级/转风险
ewon_Dfi33b	Dfi33bzKPRk7yrRxA8q9MB4TR9FodZ51wK9kkqbsrq4v	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	T+6h,T+24h,T+72h	高	卖出/转出/资金回流/角色升级降级	保持/升级/降级/转风险
ewon_97K6ns	97K6nsFhBWDKwQf6heDDhDtsCRC4779LPHSFZkc2zqK4	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	T+1h,T+6h,T+24h,T+72h,T+7d	高	卖出/转出/资金回流/角色升级降级	保持/升级/降级/转风险
ewon_FixmSp	FixmSpsBa7ew26gWdiqpoMAgKRFgbSXFbGAgfMZw67X	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	T+24h,T+72h	中	卖出/转出/资金回流/角色升级降级	保持/升级/降级/转风险
ewon_suqh5s	suqh5sHtr8HyJ7q8scBimULPkPpA557prMG47xCHQfK	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	T+6h,T+24h,T+72h	中	卖出/转出/资金回流/角色升级降级	保持/升级/降级/转风险
ewon_D6kXNA	D6kXNABjhGYW46tyX4Xtx9wrsYAHRxs18TqxDyX18iNZ	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	T+1h,T+6h,T+24h,T+72h,T+7d	高	卖出/转出/资金回流/角色升级降级	保持/升级/降级/转风险
ewon_F7KSBM	F7KSBM7SVVYUczJTCLpLJFPDEBrmrfi9ZiGru1BzAuwi	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	T+6h,T+24h,T+72h	中	卖出/转出/资金回流/角色升级降级	保持/升级/降级/转风险
ewon_BM9Ccy	BM9CcyErJcu2mjrFvUsRRrD3snGeHDDVirJLvL6EjvMN	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	T+6h,T+24h,T+72h	高	卖出/转出/资金回流/角色升级降级	保持/升级/降级/转风险
ewon_8psNvW	8psNvWTrdNTiVRNzAgsou9kETXNJm2SXZyaKuJraVRtf	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	T+6h,T+24h,T+72h	高	卖出/转出/资金回流/角色升级降级	保持/升级/降级/转风险
