metric	value	remark
renounced_mint	True	安全权限
renounced_freeze_account	True	安全权限
buy_tax	0	交易税
sell_tax	0	交易税
burn_status	burn	LP燃烧
top_10_holder_rate	18.090%	筹码集中度
fresh_wallet_rate	10.840%	新钱包比例
top_bundler_trader_percentage	47.710%	bundler交易占比
top_rat_trader_percentage	0.020%	rat交易占比
top_entrapment_trader_percentage	11.230%	entrapment占比
bot_degen_rate	38.590%	bot比例
smart_wallets	43	GMGN标签
renowned_wallets	8	KOL
sniper_wallets	54	狙击
bundler_wallets	1000	bundler
fresh_wallets	409	fresh
rat_trader_wallets	3	rat
1h_open	0.00132481	kline
1h_close	0.00049372	kline
1h_change_pct	-62.73%	kline
1h_high	0.00147447	kline
1h_low	0.00022899	kline
1h_volume_usd	1517235.40	kline
