address,chain,entity_type,entity_name,exclusion_reason,first_seen_time,last_seen_time,appeared_token_count,related_token_list,counterparty_count,funding_source_count,return_flow_count,router_interaction_count,lp_interaction_count,structure_relevance,risk_relevance,infrastructure_level,keep_edges,note,sikk_remark,created_at,updated_at
Gr3k2DGNLnFVZqwhvSBE9xLxe4CN1uGtB3RACCbsJH4,sol,LP/Pool,pump_amm,LP池子不进入普通钱包评分,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC,1,ewon:12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,需复查,需复查,需复查,需复查,需复查,中,低,I1,是,保留交易/流动性关系边,保留交易/流动性关系边,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC
GnRFFi8CW1gVuUKYyoFjm4cxfAfX1iE2iGgp7DSwJJB5,sol,FundingSourceCandidate,GMGN返回native_from,资金来源/交易工具候选，不进入普通钱包评分,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC,1,ewon:12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,需复查,需复查,需复查,需复查,需复查,中,中,I2,是,保留funding_source边，待跨币复现确认,保留funding_source边，待跨币复现确认,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC
AxiomRXZAq1Jgjj9pHmNqVP7Lhu67wLXZJZbaK87TTSk,sol,Router/TradingTool,GMGN返回native_from,资金来源/交易工具候选，不进入普通钱包评分,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC,1,ewon:12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,需复查,需复查,需复查,需复查,需复查,中,中,I3,是,保留funding_source边，待跨币复现确认,保留funding_source边，待跨币复现确认,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC
22zjkDKzquzFCCvnxRSYQU1Bb6gSu52LTEU3ZCBBQYuf,sol,FundingSourceCandidate,GMGN返回native_from,资金来源/交易工具候选，不进入普通钱包评分,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC,1,ewon:12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,需复查,需复查,需复查,需复查,需复查,中,中,I2,是,保留funding_source边，待跨币复现确认,保留funding_source边，待跨币复现确认,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC
B48kNVXs4YK4amkBCH2XokQiv1SeiVQGHDR17xDeKAAn,sol,FundingSourceCandidate,GMGN返回native_from,资金来源/交易工具候选，不进入普通钱包评分,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC,1,ewon:12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,需复查,需复查,需复查,需复查,需复查,中,中,I2,是,保留funding_source边，待跨币复现确认,保留funding_source边，待跨币复现确认,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC
D89hHJT5Aqyx1trP6EnGY9jJUB3whgnq3aUvvCqedvzf,sol,FundingSourceCandidate,GMGN返回native_from,资金来源/交易工具候选，不进入普通钱包评分,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC,1,ewon:12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,需复查,需复查,需复查,需复查,需复查,中,中,I2,是,保留funding_source边，待跨币复现确认,保留funding_source边，待跨币复现确认,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC
BNuebGMyAsrLytsS13whc3qUqbnM9mVwUJcumD31m5zA,sol,FundingSourceCandidate,GMGN返回native_from,资金来源/交易工具候选，不进入普通钱包评分,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC,1,ewon:12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,需复查,需复查,需复查,需复查,需复查,中,中,I2,是,保留funding_source边，待跨币复现确认,保留funding_source边，待跨币复现确认,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC
F7p3dFrjRTbtRp8FRF6qHLomXbKRBzpvBLjtQcfcgmNe,sol,FundingSourceCandidate,GMGN返回native_from,资金来源/交易工具候选，不进入普通钱包评分,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC,1,ewon:12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,需复查,需复查,需复查,需复查,需复查,中,中,I2,是,保留funding_source边，待跨币复现确认,保留funding_source边，待跨币复现确认,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC
GfjD8eab6ebLRnbvjMHo2P11JFKrv2xrkVXVdQtktwTk,sol,FundingSourceCandidate,GMGN返回native_from,资金来源/交易工具候选，不进入普通钱包评分,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC,1,ewon:12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,需复查,需复查,需复查,需复查,需复查,中,中,I2,是,保留funding_source边，待跨币复现确认,保留funding_source边，待跨币复现确认,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC
8J7NGPfkD4oF2Pu8zXbxNvNfqhjaW668WnkNu7VrUv17,sol,FundingSourceCandidate,GMGN返回native_from,资金来源/交易工具候选，不进入普通钱包评分,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC,1,ewon:12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,需复查,需复查,需复查,需复查,需复查,中,中,I2,是,保留funding_source边，待跨币复现确认,保留funding_source边，待跨币复现确认,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC
kapRxcwXvkdCLgbc6WuxQtkTYYovs7buJ3hbMp4Xri2,sol,FundingSourceCandidate,GMGN返回native_from,资金来源/交易工具候选，不进入普通钱包评分,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC,1,ewon:12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,需复查,需复查,需复查,需复查,需复查,中,中,I2,是,保留funding_source边，待跨币复现确认,保留funding_source边，待跨币复现确认,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC
5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9,sol,FundingSourceCandidate,GMGN返回native_from,资金来源/交易工具候选，不进入普通钱包评分,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC,1,ewon:12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,需复查,需复查,需复查,需复查,需复查,中,中,I2,是,保留funding_source边，待跨币复现确认,保留funding_source边，待跨币复现确认,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC
u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,sol,FundingSourceCandidate,GMGN返回native_from,资金来源/交易工具候选，不进入普通钱包评分,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC,1,ewon:12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,需复查,需复查,需复查,需复查,需复查,中,中,I2,是,保留funding_source边，待跨币复现确认,保留funding_source边，待跨币复现确认,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC
7RXn9SgZi41SnZh6PEajvUYo19A1mprxFSj8Ss8iDPYz,sol,FundingSourceCandidate,GMGN返回native_from,资金来源/交易工具候选，不进入普通钱包评分,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC,1,ewon:12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,需复查,需复查,需复查,需复查,需复查,中,中,I2,是,保留funding_source边，待跨币复现确认,保留funding_source边，待跨币复现确认,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC
iGdFcQoyR2MwbXMHQskhmNsqddZ6rinsipHc4TNSdwu,sol,FundingSourceCandidate,GMGN返回native_from,资金来源/交易工具候选，不进入普通钱包评分,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC,1,ewon:12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,需复查,需复查,需复查,需复查,需复查,中,中,I2,是,保留funding_source边，待跨币复现确认,保留funding_source边，待跨币复现确认,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC
69SNcRC8NqjHBSXEcugCN5oFKRQoKmddmWzZYc3tqtxk,sol,FundingSourceCandidate,GMGN返回native_from,资金来源/交易工具候选，不进入普通钱包评分,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC,1,ewon:12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,需复查,需复查,需复查,需复查,需复查,中,中,I2,是,保留funding_source边，待跨币复现确认,保留funding_source边，待跨币复现确认,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC
E9wq5iKcQ55Jwnm7AckXd6MWQazLx5kW2w9gaPJ4QKKt,sol,FundingSourceCandidate,GMGN返回native_from,资金来源/交易工具候选，不进入普通钱包评分,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC,1,ewon:12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,需复查,需复查,需复查,需复查,需复查,中,中,I2,是,保留funding_source边，待跨币复现确认,保留funding_source边，待跨币复现确认,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC
37NaQDusi5dnMxzVFC7sni8pE4evFGk3RgoLa2nBbGyV,sol,FundingSourceCandidate,GMGN返回native_from,资金来源/交易工具候选，不进入普通钱包评分,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC,1,ewon:12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,需复查,需复查,需复查,需复查,需复查,中,中,I2,是,保留funding_source边，待跨币复现确认,保留funding_source边，待跨币复现确认,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC
7NAd2EpYGGeFofpyvgehSXhH5vg6Ry6VRMW2Y6jiqCu1,sol,FundingSourceCandidate,GMGN返回native_from,资金来源/交易工具候选，不进入普通钱包评分,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC,1,ewon:12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,需复查,需复查,需复查,需复查,需复查,中,中,I2,是,保留funding_source边，待跨币复现确认,保留funding_source边，待跨币复现确认,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC
ApRnQN2HkbCn7W2WWiT2FEKvuKJp9LugRyAE1a9Hdz1,sol,FundingSourceCandidate,GMGN返回native_from,资金来源/交易工具候选，不进入普通钱包评分,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC,1,ewon:12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,需复查,需复查,需复查,需复查,需复查,中,中,I2,是,保留funding_source边，待跨币复现确认,保留funding_source边，待跨币复现确认,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC
