review_id,address,chain,token_symbol,token_address,review_time,review_window,old_evidence_level,new_evidence_level,old_address_level,new_address_level,old_role,new_role,realized_result,pnl_after_review,max_roi_after_entry,exit_behavior,review_conclusion,reason,updated_at
ewon_Gr3k2D,Gr3k2DGNLnFVZqwhvSBE9xLxe4CN1uGtB3RACCbsJH4,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,待触发,"T+24h,T+72h",I1,需复查,I1,需复查,LP池子,需复查,需复查,需复查,需复查,需复查,pending,卖出/转出/资金回流/角色升级降级,2026-04-29 03:10:14 UTC
ewon_GQjwME,GQjwMEMvfAPngTPd6o5w2sZzt6xvaZho9gYSgEqc8FAT,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,待触发,"T+24h,T+72h",I1,需复查,I1,需复查,LP池子,需复查,需复查,需复查,需复查,需复查,pending,卖出/转出/资金回流/角色升级降级,2026-04-29 03:10:14 UTC
ewon_DxM1hf,DxM1hfY8FQ8dNGrucuJzhJcF8KRbjk8WBwrgKvQ9spPv,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,待触发,"T+6h,T+24h,T+72h",E3,需复查,E3,需复查,结果钱包/KOL钱包,需复查,需复查,需复查,需复查,需复查,pending,卖出/转出/资金回流/角色升级降级,2026-04-29 03:10:14 UTC
ewon_2fg5QD,2fg5QD1eD7rzNNCsvnhmXFm5hqNgwTTG8p7kQ6f3rx6f,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,待触发,"T+1h,T+6h,T+24h,T+72h,T+7d",E4/R2,需复查,E4/R2,需复查,分发派发钱包,需复查,需复查,需复查,需复查,需复查,pending,卖出/转出/资金回流/角色升级降级,2026-04-29 03:10:14 UTC
ewon_JBhVoS,JBhVoSaXknLocuRGMUAbuWqEsegHA8eG1wUUNM2MBYiv,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,待触发,"T+1h,T+6h,T+24h,T+72h,T+7d",E4,需复查,E4,需复查,结果钱包,需复查,需复查,需复查,需复查,需复查,pending,卖出/转出/资金回流/角色升级降级,2026-04-29 03:10:14 UTC
ewon_EmfYAT,EmfYATLLQWYPDiqHxBFFKNzPFZTEPLupknMWAJZLzgwP,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,待触发,"T+1h,T+6h,T+24h,T+72h,T+7d",E4,需复查,E4,需复查,分发接收钱包,需复查,需复查,需复查,需复查,需复查,pending,卖出/转出/资金回流/角色升级降级,2026-04-29 03:10:14 UTC
ewon_GijFWw,GijFWw4oNyh9ko3FaZforNsi3jk6wDovARpkKahPD4o5,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,待触发,"T+1h,T+6h,T+24h,T+72h,T+7d",E4/R2,需复查,E4/R2,需复查,分发派发钱包,需复查,需复查,需复查,需复查,需复查,pending,卖出/转出/资金回流/角色升级降级,2026-04-29 03:10:14 UTC
ewon_o1cwo8,o1cwo8ZWUhGir84GWmeWJo5JZbmeMPnoypuK98q4fMU,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,待触发,"T+6h,T+24h,T+72h",E3,需复查,E3,需复查,新钱包狙击,需复查,需复查,需复查,需复查,需复查,pending,卖出/转出/资金回流/角色升级降级,2026-04-29 03:10:14 UTC
ewon_7zNeNd,7zNeNdCtyteKLop816zN6HoCyhYXtQf9U8jnW7FNVgXX,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,待触发,"T+24h,T+72h",E2,需复查,E2,需复查,普通交易钱包,需复查,需复查,需复查,需复查,需复查,pending,卖出/转出/资金回流/角色升级降级,2026-04-29 03:10:14 UTC
ewon_J4hY1w,J4hY1wpM6dZCzAbFndKUBZBEEG5yVRdP96zYnPu9dULb,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,待触发,"T+24h,T+72h",E2,需复查,E2,需复查,普通交易钱包,需复查,需复查,需复查,需复查,需复查,pending,卖出/转出/资金回流/角色升级降级,2026-04-29 03:10:14 UTC
