review_id,address,chain,token_symbol,token_address,review_window,review_priority,review_focus,expected_update_action
ewon_Gr3k2D,Gr3k2DGNLnFVZqwhvSBE9xLxe4CN1uGtB3RACCbsJH4,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"T+24h,T+72h",无,卖出/转出/资金回流/角色升级降级,保持/升级/降级/转风险
ewon_GQjwME,GQjwMEMvfAPngTPd6o5w2sZzt6xvaZho9gYSgEqc8FAT,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"T+24h,T+72h",无,卖出/转出/资金回流/角色升级降级,保持/升级/降级/转风险
ewon_DxM1hf,DxM1hfY8FQ8dNGrucuJzhJcF8KRbjk8WBwrgKvQ9spPv,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"T+6h,T+24h,T+72h",中,卖出/转出/资金回流/角色升级降级,保持/升级/降级/转风险
ewon_2fg5QD,2fg5QD1eD7rzNNCsvnhmXFm5hqNgwTTG8p7kQ6f3rx6f,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"T+1h,T+6h,T+24h,T+72h,T+7d",高,卖出/转出/资金回流/角色升级降级,保持/升级/降级/转风险
ewon_JBhVoS,JBhVoSaXknLocuRGMUAbuWqEsegHA8eG1wUUNM2MBYiv,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"T+1h,T+6h,T+24h,T+72h,T+7d",高,卖出/转出/资金回流/角色升级降级,保持/升级/降级/转风险
ewon_EmfYAT,EmfYATLLQWYPDiqHxBFFKNzPFZTEPLupknMWAJZLzgwP,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"T+1h,T+6h,T+24h,T+72h,T+7d",高,卖出/转出/资金回流/角色升级降级,保持/升级/降级/转风险
ewon_GijFWw,GijFWw4oNyh9ko3FaZforNsi3jk6wDovARpkKahPD4o5,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"T+1h,T+6h,T+24h,T+72h,T+7d",高,卖出/转出/资金回流/角色升级降级,保持/升级/降级/转风险
ewon_7zNeNd,7zNeNdCtyteKLop816zN6HoCyhYXtQf9U8jnW7FNVgXX,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"T+24h,T+72h",中,卖出/转出/资金回流/角色升级降级,保持/升级/降级/转风险
ewon_J4hY1w,J4hY1wpM6dZCzAbFndKUBZBEEG5yVRdP96zYnPu9dULb,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"T+24h,T+72h",中,卖出/转出/资金回流/角色升级降级,保持/升级/降级/转风险
ewon_Bf4zji,Bf4zji6S979QySiGNjPJ2VMZ5i2SRVtAzfx8QUBScJm6,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"T+24h,T+72h",中,卖出/转出/资金回流/角色升级降级,保持/升级/降级/转风险
ewon_2dB5si,2dB5siVm4h2pnFaLRezJQGjd9AR4aWq2CLt4Mb1orbNV,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"T+24h,T+72h",中,卖出/转出/资金回流/角色升级降级,保持/升级/降级/转风险
ewon_GExMN6,GExMN6extw7JyLe3jENEZwULyyqbDxxcrfF44VFLvFAT,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"T+1h,T+6h,T+24h,T+72h,T+7d",高,卖出/转出/资金回流/角色升级降级,保持/升级/降级/转风险
ewon_Dfi33b,Dfi33bzKPRk7yrRxA8q9MB4TR9FodZ51wK9kkqbsrq4v,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"T+6h,T+24h,T+72h",高,卖出/转出/资金回流/角色升级降级,保持/升级/降级/转风险
ewon_4oqLr7,4oqLr7WAC6VeLWnhDkw8QA4HFbxsT8iAgNbCXmNJzexZ,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"T+24h,T+72h",低,卖出/转出/资金回流/角色升级降级,保持/升级/降级/转风险
ewon_DZwgxG,DZwgxGwTzaqFV91dBnoTeJWbirA4MCjwVNJ5jFfCpsSC,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"T+24h,T+72h",低,卖出/转出/资金回流/角色升级降级,保持/升级/降级/转风险
ewon_FAMEca,FAMEcanszfKG6WrXstFZjhpcsRkBA6Y59K2m3Qsjv5sa,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"T+24h,T+72h",低,卖出/转出/资金回流/角色升级降级,保持/升级/降级/转风险
ewon_A7Nka4,A7Nka4vVv4dqv7qCEVBE4eRVNPrnrtf6bcgWifzLPmpx,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"T+24h,T+72h",低,卖出/转出/资金回流/角色升级降级,保持/升级/降级/转风险
ewon_J2ECnk,J2ECnk4MJQ8boxN77ss8fTkQRQxG7JmEUEGbARjxBPaz,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"T+24h,T+72h",低,卖出/转出/资金回流/角色升级降级,保持/升级/降级/转风险
ewon_2JLTKc,2JLTKcECTybkCEp64v7V4P4FijjKiMgKnFkX2WwRWTM6,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"T+24h,T+72h",低,卖出/转出/资金回流/角色升级降级,保持/升级/降级/转风险
ewon_EXUzBT,EXUzBTmHcYYwoHXjVi4zRBrj92iAcbnDRnsjs5SZ5PoC,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"T+24h,T+72h",低,卖出/转出/资金回流/角色升级降级,保持/升级/降级/转风险
ewon_97K6ns,97K6nsFhBWDKwQf6heDDhDtsCRC4779LPHSFZkc2zqK4,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"T+1h,T+6h,T+24h,T+72h,T+7d",高,卖出/转出/资金回流/角色升级降级,保持/升级/降级/转风险
ewon_GVQZex,GVQZexLwKDBsEmkJ2fS9rhC4dxvSggFF2sjvBnt4SjN2,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"T+24h,T+72h",中,卖出/转出/资金回流/角色升级降级,保持/升级/降级/转风险
ewon_D6kXNA,D6kXNABjhGYW46tyX4Xtx9wrsYAHRxs18TqxDyX18iNZ,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"T+1h,T+6h,T+24h,T+72h,T+7d",高,卖出/转出/资金回流/角色升级降级,保持/升级/降级/转风险
ewon_suqh5s,suqh5sHtr8HyJ7q8scBimULPkPpA557prMG47xCHQfK,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"T+6h,T+24h,T+72h",中,卖出/转出/资金回流/角色升级降级,保持/升级/降级/转风险
ewon_7cNfaR,7cNfaRiuyhaC56nUxpupS4YUK3h5RdwzrmukYTmPph1j,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"T+24h,T+72h",中,卖出/转出/资金回流/角色升级降级,保持/升级/降级/转风险
