字段,值,备注
代币符号,ewon,未知
代币名称,ewon mesk,未知
代币地址,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,未知
链,sol,未知
当前价格USD,0.00047855,未知
当前市值估算USD,478538.76,price*circulating_supply
流动性USD,65720.18,未知
持有人数量,未知,未知
创建时间,2026-04-29 00:16:59 UTC,未知
开盘时间,2026-04-29 00:18:12 UTC,未知
发射平台,Pump.fun,未知
主池地址,Gr3k2DGNLnFVZqwhvSBE9xLxe4CN1uGtB3RACCbsJH4,未知
创建者地址,未知,未知
创建者代币状态,未知,未知
创建者开盘次数,未知,未知
CTO标记,未知,未知
GMGN链接,https://gmgn.ai/sol/token/12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,未知
官网,未知,未知
推特用户名,未知,未知
