doc_id,module,gap_type,detail
CURRENT_CONTEXT_baf6f9ba3568,candidate_discovery,MISSING_MODULE,模块在映射中缺失或未接入
CURRENT_CONTEXT_baf6f9ba3568,candidate_discovery,SURFACE_TEMPLATE,缺失模块也没有表层模板
CURRENT_CONTEXT_baf6f9ba3568,candidate_discovery,NOT_RUNTIME_CONNECTED,未与 runtime 主流程连接
CURRENT_CONTEXT_baf6f9ba3568,candidate_discovery,NOT_VISIBLE_IN_TG,TG 中不可见
CURRENT_CONTEXT_baf6f9ba3568,candidate_discovery,NOT_VISIBLE_IN_WEB,Web 中不可见
CURRENT_CONTEXT_baf6f9ba3568,candidate_discovery,NOT_VISIBLE_IN_CLI,CLI 中不可见
CURRENT_CONTEXT_baf6f9ba3568,candidate_discovery,NO_TEST,缺少对应测试
CURRENT_CONTEXT_baf6f9ba3568,candidate_discovery,NO_SOURCE_TRACE,缺少源文件或来源追踪
CURRENT_CONTEXT_baf6f9ba3568,candidate_discovery,NO_ACCEPTANCE,缺少验收声明
CURRENT_CONTEXT_baf6f9ba3568,kline_signal,MISSING_MODULE,模块在映射中缺失或未接入
CURRENT_CONTEXT_baf6f9ba3568,kline_signal,SURFACE_TEMPLATE,缺失模块也没有表层模板
CURRENT_CONTEXT_baf6f9ba3568,kline_signal,NOT_RUNTIME_CONNECTED,未与 runtime 主流程连接
CURRENT_CONTEXT_baf6f9ba3568,kline_signal,NOT_VISIBLE_IN_TG,TG 中不可见
CURRENT_CONTEXT_baf6f9ba3568,kline_signal,NOT_VISIBLE_IN_WEB,Web 中不可见
CURRENT_CONTEXT_baf6f9ba3568,kline_signal,NOT_VISIBLE_IN_CLI,CLI 中不可见
CURRENT_CONTEXT_baf6f9ba3568,kline_signal,NO_TEST,缺少对应测试
CURRENT_CONTEXT_baf6f9ba3568,kline_signal,NO_SOURCE_TRACE,缺少源文件或来源追踪
CURRENT_CONTEXT_baf6f9ba3568,kline_signal,NO_ACCEPTANCE,缺少验收声明
CURRENT_CONTEXT_baf6f9ba3568,wallet_structure,MISSING_MODULE,模块在映射中缺失或未接入
CURRENT_CONTEXT_baf6f9ba3568,wallet_structure,SURFACE_TEMPLATE,缺失模块也没有表层模板
CURRENT_CONTEXT_baf6f9ba3568,wallet_structure,NOT_RUNTIME_CONNECTED,未与 runtime 主流程连接
CURRENT_CONTEXT_baf6f9ba3568,wallet_structure,NOT_VISIBLE_IN_TG,TG 中不可见
CURRENT_CONTEXT_baf6f9ba3568,wallet_structure,NOT_VISIBLE_IN_WEB,Web 中不可见
CURRENT_CONTEXT_baf6f9ba3568,wallet_structure,NOT_VISIBLE_IN_CLI,CLI 中不可见
CURRENT_CONTEXT_baf6f9ba3568,wallet_structure,NO_TEST,缺少对应测试
CURRENT_CONTEXT_baf6f9ba3568,wallet_structure,NO_SOURCE_TRACE,缺少源文件或来源追踪
CURRENT_CONTEXT_baf6f9ba3568,wallet_structure,NO_ACCEPTANCE,缺少验收声明
CURRENT_CONTEXT_baf6f9ba3568,okx_cluster,MISSING_MODULE,模块在映射中缺失或未接入
CURRENT_CONTEXT_baf6f9ba3568,okx_cluster,SURFACE_TEMPLATE,缺失模块也没有表层模板
CURRENT_CONTEXT_baf6f9ba3568,okx_cluster,NOT_RUNTIME_CONNECTED,未与 runtime 主流程连接
CURRENT_CONTEXT_baf6f9ba3568,okx_cluster,NOT_VISIBLE_IN_TG,TG 中不可见
CURRENT_CONTEXT_baf6f9ba3568,okx_cluster,NOT_VISIBLE_IN_WEB,Web 中不可见
CURRENT_CONTEXT_baf6f9ba3568,okx_cluster,NOT_VISIBLE_IN_CLI,CLI 中不可见
CURRENT_CONTEXT_baf6f9ba3568,okx_cluster,NO_TEST,缺少对应测试
CURRENT_CONTEXT_baf6f9ba3568,okx_cluster,NO_SOURCE_TRACE,缺少源文件或来源追踪
CURRENT_CONTEXT_baf6f9ba3568,okx_cluster,NO_ACCEPTANCE,缺少验收声明
CURRENT_CONTEXT_baf6f9ba3568,structure_fusion,MISSING_MODULE,模块在映射中缺失或未接入
CURRENT_CONTEXT_baf6f9ba3568,structure_fusion,SURFACE_TEMPLATE,缺失模块也没有表层模板
CURRENT_CONTEXT_baf6f9ba3568,structure_fusion,NOT_RUNTIME_CONNECTED,未与 runtime 主流程连接
CURRENT_CONTEXT_baf6f9ba3568,structure_fusion,NOT_VISIBLE_IN_TG,TG 中不可见
CURRENT_CONTEXT_baf6f9ba3568,structure_fusion,NOT_VISIBLE_IN_WEB,Web 中不可见
