doc_id,module,gap_type,detail
chatgpt_share_69f868b8_repomix_deerflow_harness_20be5ea17d45,candidate_discovery,MISSING_MODULE,模块在映射中缺失或未接入
chatgpt_share_69f868b8_repomix_deerflow_harness_20be5ea17d45,candidate_discovery,SURFACE_TEMPLATE,缺失模块也没有表层模板
chatgpt_share_69f868b8_repomix_deerflow_harness_20be5ea17d45,candidate_discovery,NOT_RUNTIME_CONNECTED,未与 runtime 主流程连接
chatgpt_share_69f868b8_repomix_deerflow_harness_20be5ea17d45,candidate_discovery,NOT_VISIBLE_IN_TG,TG 中不可见
chatgpt_share_69f868b8_repomix_deerflow_harness_20be5ea17d45,candidate_discovery,NOT_VISIBLE_IN_WEB,Web 中不可见
chatgpt_share_69f868b8_repomix_deerflow_harness_20be5ea17d45,candidate_discovery,NOT_VISIBLE_IN_CLI,CLI 中不可见
chatgpt_share_69f868b8_repomix_deerflow_harness_20be5ea17d45,candidate_discovery,NO_TEST,缺少对应测试
chatgpt_share_69f868b8_repomix_deerflow_harness_20be5ea17d45,candidate_discovery,NO_SOURCE_TRACE,缺少源文件或来源追踪
chatgpt_share_69f868b8_repomix_deerflow_harness_20be5ea17d45,candidate_discovery,NO_ACCEPTANCE,缺少验收声明
chatgpt_share_69f868b8_repomix_deerflow_harness_20be5ea17d45,kline_signal,MISSING_MODULE,模块在映射中缺失或未接入
chatgpt_share_69f868b8_repomix_deerflow_harness_20be5ea17d45,kline_signal,SURFACE_TEMPLATE,缺失模块也没有表层模板
chatgpt_share_69f868b8_repomix_deerflow_harness_20be5ea17d45,kline_signal,NOT_RUNTIME_CONNECTED,未与 runtime 主流程连接
chatgpt_share_69f868b8_repomix_deerflow_harness_20be5ea17d45,kline_signal,NOT_VISIBLE_IN_TG,TG 中不可见
chatgpt_share_69f868b8_repomix_deerflow_harness_20be5ea17d45,kline_signal,NOT_VISIBLE_IN_WEB,Web 中不可见
chatgpt_share_69f868b8_repomix_deerflow_harness_20be5ea17d45,kline_signal,NOT_VISIBLE_IN_CLI,CLI 中不可见
chatgpt_share_69f868b8_repomix_deerflow_harness_20be5ea17d45,kline_signal,NO_TEST,缺少对应测试
chatgpt_share_69f868b8_repomix_deerflow_harness_20be5ea17d45,kline_signal,NO_SOURCE_TRACE,缺少源文件或来源追踪
chatgpt_share_69f868b8_repomix_deerflow_harness_20be5ea17d45,kline_signal,NO_ACCEPTANCE,缺少验收声明
chatgpt_share_69f868b8_repomix_deerflow_harness_20be5ea17d45,wallet_structure,MISSING_MODULE,模块在映射中缺失或未接入
chatgpt_share_69f868b8_repomix_deerflow_harness_20be5ea17d45,wallet_structure,SURFACE_TEMPLATE,缺失模块也没有表层模板
chatgpt_share_69f868b8_repomix_deerflow_harness_20be5ea17d45,wallet_structure,NOT_RUNTIME_CONNECTED,未与 runtime 主流程连接
